Банк,Покупка(100 RUB),Продажа(100 RUB),Кол-во банков
Дабрабыт,"3,5000 BYN","4,4800 BYN",1
Беларусбанк,"3,5000 BYN","4,4000 BYN",17
Технобанк,"3,5000 BYN","4,4300 BYN",7
БНБ-Банк,"3,5000 BYN","4,4000 BYN",1
БПС-Сбербанк,"3,5000 BYN","4,4500 BYN",1
БТА Банк,"3,5000 BYN","4,3830 BYN",1
Белгазпромбанк,"3,5000 BYN","4,4900 BYN",2
Альфа-Банк,"3,5000 BYN","4,5000 BYN",5
Паритетбанк,"3,5000 BYN","4,5700 BYN",2
Белинвестбанк,"3,5000 BYN","4,4500 BYN",1
МТБанк,"3,5000 BYN","4,4700 BYN",3
РРБ-Банк,"3,5000 BYN","4,3500 BYN",2
Приорбанк,"3,5000 BYN","4,4400 BYN",1
БелВЭБ,"3,0000 BYN","3,9000 BYN",1
