Банк,Покупка(100 RUB),Продажа(100 RUB),Кол-во банков
Паритетбанк,"3,5000 BYN","4,5700 BYN",2
Белгазпромбанк,"3,5000 BYN","4,4900 BYN",3
Альфа-Банк,"3,5000 BYN","4,5000 BYN",9
РРБ-Банк,"3,5000 BYN","4,3900 BYN",3
Белинвестбанк,"3,5000 BYN","4,4500 BYN",1
МТБанк,"3,5000 BYN","4,4700 BYN",4
Технобанк,"3,5000 BYN","4,4500 BYN",13
Приорбанк,"3,5000 BYN","4,4400 BYN",1
Дабрабыт,"3,5000 BYN","4,4800 BYN",2
Беларусбанк,"3,5000 BYN","4,4000 BYN",15
БТА Банк,"3,5000 BYN","4,3830 BYN",2
БНБ-Банк,"3,5000 BYN","4,4000 BYN",2
БПС-Сбербанк,"3,5000 BYN","4,4500 BYN",3
БелВЭБ,"3,0000 BYN","3,9000 BYN",1
