Банк,Покупка(100 RUB),Продажа(100 RUB),Кол-во банков
Технобанк,"3,5000 BYN","4,5200 BYN",4
Приорбанк,"3,5000 BYN","4,4400 BYN",2
Дабрабыт,"3,5000 BYN","4,4800 BYN",2
Беларусбанк,"3,5000 BYN","4,4000 BYN",7
БТА Банк,"3,5000 BYN","4,3830 BYN",1
БНБ-Банк,"3,5000 BYN","4,4000 BYN",1
БПС-Сбербанк,"3,5000 BYN","4,4500 BYN",1
Паритетбанк,"3,5000 BYN","4,5700 BYN",1
Белгазпромбанк,"3,5000 BYN","4,4900 BYN",2
Альфа-Банк,"3,5000 BYN","4,5000 BYN",4
РРБ-Банк,"3,5000 BYN","4,4000 BYN",2
Белинвестбанк,"3,5000 BYN","4,4500 BYN",1
МТБанк,"3,5000 BYN","4,4700 BYN",7
БелВЭБ,"3,0000 BYN","3,9000 BYN",1
