Банк,Покупка(100 RUB),Продажа(100 RUB),Кол-во банков
Дабрабыт,"3,5000 BYN","4,4800 BYN",10
БНБ-Банк,"3,5000 BYN","4,4000 BYN",10
Технобанк,"3,5000 BYN","4,4500 BYN",47
Беларусбанк,"3,5000 BYN","4,4000 BYN",152
БТА Банк,"3,5000 BYN","4,3830 BYN",3
Белгазпромбанк,"3,5000 BYN","4,4900 BYN",13
БПС-Сбербанк,"3,5000 BYN","4,4500 BYN",12
Статусбанк,"3,5000 BYN","4,4000 BYN",6
Белинвестбанк,"3,5000 BYN","4,4500 BYN",6
Альфа-Банк,"3,5000 BYN","4,5000 BYN",30
Паритетбанк,"3,5000 BYN","4,5700 BYN",16
БСБ Банк,"3,5000 BYN","4,4500 BYN",25
МТБанк,"3,5000 BYN","4,4500 BYN",43
РРБ-Банк,"3,5000 BYN","4,4000 BYN",10
Приорбанк,"3,5000 BYN","4,4400 BYN",27
ТК Банк,"3,3000 BYN","4,4500 BYN",1
БелВЭБ,"3,0000 BYN","3,9000 BYN",13
