Банк,Покупка(100 RUB),Продажа(100 RUB),Кол-во банков
РРБ-Банк,"3,5000 BYN","4,4000 BYN",1
Белинвестбанк,"3,5000 BYN","4,4500 BYN",1
МТБанк,"3,5000 BYN","4,4700 BYN",4
Технобанк,"3,5000 BYN","4,4000 BYN",9
Приорбанк,"3,5000 BYN","4,4400 BYN",1
Дабрабыт,"3,5000 BYN","4,4800 BYN",2
Беларусбанк,"3,5000 BYN","4,4000 BYN",23
БТА Банк,"3,5000 BYN","4,3830 BYN",1
БНБ-Банк,"3,5000 BYN","4,4000 BYN",1
БПС-Сбербанк,"3,5000 BYN","4,4500 BYN",3
Паритетбанк,"3,5000 BYN","4,5800 BYN",1
Белгазпромбанк,"3,5000 BYN","4,4900 BYN",3
Альфа-Банк,"3,5000 BYN","4,5000 BYN",3
БелВЭБ,"3,0000 BYN","3,9000 BYN",1
