IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP350;IP_PROP348;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP351;IP_PROP344;IP_PROP352;IP_PROP353;IP_PROP332;IP_PROP347;IP_PROP79;IP_PROP330;IP_PROP354;IP_PROP333;CV_PRICE_1;CV_CURRENCY_1
3839;Полка настенная ПН-П-10/3 (1000х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p-10-3-1000x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная. Данный предмет интерьера кухни является настоящим помощником. Полки устанавливают над производственными столами под мелкую тару, в моечных – под моющие средства и т.д.;220;300;1000;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1010;320;4.1;40;ребро жесткости (оцинкованная сталь. 0.5 мм);4;сплошные;;;;;;;;1 627;RUB
3840;Полка настенная ПН-П-12/3 (1200х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p-12-3-1200x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная. Данный предмет интерьера кухни является настоящим помощником. Полки устанавливают над производственными столами под мелкую тару, в моечных – под моющие средства и т.д.;220;300;1200;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1210;320;5.1;40;ребро жесткости (оцинкованная сталь. 0.5 мм);5;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;;;;;1 732;RUB
3841;Полка настенная ПН-П-15/3 (1500х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p-15-3-1500x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная. Данный предмет интерьера кухни является настоящим помощником. Полки устанавливают над производственными столами под мелкую тару, в моечных – под моющие средства и т.д.;220;300;1500;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1510;320;6.1;40;ребро жесткости (оцинкованная сталь. 0.5 мм);5;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;;;;;2 141;RUB
3842;Полка настенная ПН-П2-10/3 (1000х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p2-10-3-1000x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная;220;300;1000;ООО «АССУМ»;Россия;296;25;консольное (к стене);;;;;;;;;есть;нержавеющая сталь;;;;;3 058;RUB
3843;Полка настенная ПН-П2-12/3 (1200х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p2-12-3-1200x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная;220;300;1200;ООО «АССУМ»;Россия;296;;консольное (к стене);;;;;;;;;есть;нержавеющая сталь;1;;;;3 700;RUB
3844;Полка настенная ПН-П2-15/3 (1500х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p2-15-3-1500x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная;220;300;1500;ООО «АССУМ»;Россия;296;;консольное (к стене);;;;;;;;нержавеющая сталь (AISI 430. 1 мм);есть;;1;;;;4 231;RUB
3845;Полка настенная ПН-П2-6/3 (600х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p2-6-3-600x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная;220;300;600;ООО «АССУМ»;Россия;296;;консольное (к стене);;;;;;;;нержавеющая сталь (AISI 430. 1 мм);есть;;1;;;;3 076;RUB
3846;Полка настенная ПН-П-6/3 (600х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;;html;polka-nastennaya-pn-p-6-3-600x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-2.png;Полка настенная. Данный предмет интерьера кухни является настоящим помощником. Полки устанавливают над производственными столами под мелкую тару, в моечных – под моющие средства и т.д.;220;300;600;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);610;320;3.5;40;ребро жесткости (оцинкованная сталь. 0.5 мм);3;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;1;;;;1 281;RUB
3848;Полка настенная ПНП-П-10/3 (1000х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;;html;polka-nastennaya-pnp-p-10-3-1000x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;Полка настенная перфорированная – вспомогательный элемент на каждой кухне. Благодаря им у повара под рукой находится весь необходимый инвентарь. Поэтому их никогда не бывает много.;220;300;1000;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1010;320;4.5;40;ребро жесткости (оцинкованная сталь. 0.5 мм);4;с перфорацией;нержавеющая сталь (AISI 430. 0.7 мм);;;;;;;1 814;RUB
3849;Полка настенная ПНП-П-12/3 (1200х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;;html;polka-nastennaya-pnp-p-12-3-1200x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;Полка настенная перфорированная – вспомогательный элемент на каждой кухне. Благодаря им у повара под рукой находится весь необходимый инвентарь. Поэтому их никогда не бывает много.;220;300;1200;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1210;320;7.2;40;ребро жесткости (оцинкованная сталь. 0.5 мм);6;с перфорацией;нержавеющая сталь (AISI 430. 0.7 мм);;;1;;;;1 979;RUB
3850;Полка настенная ПНП-П-15/3 (1500х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;;html;polka-nastennaya-pnp-p-15-3-1500x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;Полка настенная перфорированная- вспомогательный элемент на каждой кухне. Благодаря им у повара под рукой находится весь необходимый инвентарь. Поэтому их никогда не бывает много.;220;300;1500;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1510;320;9.6;40;ребро жесткости (оцинкованная сталь. 0.5 мм);9;с перфорацией;нержавеющая сталь (AISI 430. 0.7 мм);;;;;;;2 201;RUB
3851;Полка настенная ПНП-П-6/3 (600х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;;html;polka-nastennaya-pnp-p-6-3-600x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;Полка настенная перфорированная – вспомогательный элемент на каждой кухне. Благодаря им у повара под рукой находится весь необходимый инвентарь. Поэтому их никогда не бывает много.;220;300;600;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);610;320;3.5;40;ребро жесткости (оцинкованная сталь. 0.5 мм);3;с перфорацией;;;;1;;;;1 424;RUB
3853;Полка настенная ПНО-П-10/4 (1000х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-10-4-1000x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;1000;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;нет;;10 085;RUB
3854;Полка настенная ПНО-П-12/4 (1200х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-12-4-1200x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;1200;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;нет;;10 867;RUB
3855;Полка настенная ПНО-П-15/4 (1500х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-15-4-1500x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;1500;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;;сварная;нет;;12 222;RUB
