IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP79;IP_PROP330;IP_PROP350;IP_PROP333;IP_PROP336;IP_PROP337;IP_PROP352;IP_PROP355;IP_PROP340;IP_PROP345;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP353;IP_PROP351;CV_PRICE_1;CV_CURRENCY_1
3873;Стеллаж производственный СТП-С-10/4 (1000х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-10-4-1000x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;400;1000;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1020;0.08;420;25;180;24;;;11 025;RUB
3874;Стеллаж производственный СТП-С-10/5 (1000х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-10-5-1000x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;500;1000;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1020;0.1;520;27.5;180;26.5;;;12 039;RUB
3875;Стеллаж производственный СТП-С-10/6 (1000х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-10-6-1000x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;600;1000;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1020;0.11;620;30;180;29;;;15 329;RUB
3876;Стеллаж производственный СТП-С-12/4 (1200х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-12-4-1200x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;400;1200;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1220;0.09;420;26.65;180;25.45;;;12 300;RUB
3877;Стеллаж производственный СТП-С-12/5 (1200х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-12-5-1200x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;500;1200;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1220;0.11;520;29.75;180;28.75;;;13 520;RUB
3878;Стеллаж производственный СТП-С-12/6 (1200х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-12-6-1200x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;600;1200;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1220;0.14;620;33.8;180;32;;;16 847;RUB
3879;Стеллаж производственный СТП-С-15/4 (1500х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-15-4-1500x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;400;1500;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1520;0.11;420;31.5;180;30;;;14 202;RUB
3880;Стеллаж производственный СТП-С-15/5 (1500х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-15-5-1500x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;500;1500;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1520;0.14;520;36.75;180;35.75;;;15 560;RUB
3881;Стеллаж производственный СТП-С-15/6 (1500х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-15-6-1500x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;600;1500;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1520;0.17;620;42;180;41;;;19 091;RUB
3882;Стеллаж производственный СТП-С-18/4 (1800х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-18-4-1800x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;400;1800;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1820;0.14;420;33.5;180;32;;;15 952;RUB
