IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP353;IP_PROP74;IP_PROP332;IP_PROP347;IP_PROP79;CV_PRICE_1
3475;Полка настенная ПН-П-10/3 (1000х300х220);polka-nastennaya-pn-p-10-3-1000x300x220;3474;heigh220width300depth1000;220;300;1000;1010;320;4.1;40;4;;;;;;1 627
3476;Полка настенная ПН-П-12/3 (1200х300х220);polka-nastennaya-pn-p-12-3-1200x300x220;3474;heigh220width300depth1200;220;300;1200;1210;320;5.1;40;5;нержавеющая сталь (AISI 430. 0.7 мм);;;;;1 732
3477;Полка настенная ПН-П-15/3 (1500х300х220);polka-nastennaya-pn-p-15-3-1500x300x220;3474;heigh220width300depth1500;220;300;1500;1510;320;6.1;40;5;нержавеющая сталь (AISI 430. 0.7 мм);;;;;2 141
3478;Полка настенная ПН-П2-10/3 (1000х300х220);polka-nastennaya-pn-p2-10-3-1000x300x220;3474;heigh220width300depth1000;220;300;1000;;;;;;;ООО «АССУМ»;есть;нержавеющая сталь;;3 058
3479;Полка настенная ПН-П2-12/3 (1200х300х220);polka-nastennaya-pn-p2-12-3-1200x300x220;3474;heigh220width300depth1200;220;300;1200;;;;;;;ООО «АССУМ»;есть;нержавеющая сталь;1;3 700
3480;Полка настенная ПН-П2-15/3 (1500х300х220);polka-nastennaya-pn-p2-15-3-1500x300x220;3474;heigh220width300depth1500;220;300;1500;;;;;;нержавеющая сталь (AISI 430. 1 мм);ООО «АССУМ»;есть;;1;4 231
3481;Полка настенная ПН-П2-6/3 (600х300х220);polka-nastennaya-pn-p2-6-3-600x300x220;3474;heigh220width300depth600;220;300;600;;;;;;нержавеющая сталь (AISI 430. 1 мм);ООО «АССУМ»;есть;;1;3 076
3482;Полка настенная ПН-П-6/3 (600х300х220);polka-nastennaya-pn-p-6-3-600x300x220;3474;heigh220width300depth600;220;300;600;610;320;3.5;40;3;нержавеющая сталь (AISI 430. 0.7 мм);ООО «АССУМ»;;;1;1 281
3484;Полка настенная ПНП-П-10/3 (1000х300х220);polka-nastennaya-pnp-p-10-3-1000x300x220;3483;heigh220width300depth1000;220;300;1000;1010;320;4.5;40;4;;;;;;1 814
3485;Полка настенная ПНП-П-12/3 (1200х300х220);polka-nastennaya-pnp-p-12-3-1200x300x220;3483;heigh220width300depth1200;220;300;1200;1210;320;7.2;40;6;;ООО «АССУМ»;;;1;1 979
3486;Полка настенная ПНП-П-15/3 (1500х300х220);polka-nastennaya-pnp-p-15-3-1500x300x220;3483;heigh220width300depth1500;220;300;1500;1510;320;9.6;40;9;;ООО «АССУМ»;;;;2 201
3487;Полка настенная ПНП-П-6/3 (600х300х220);polka-nastennaya-pnp-p-6-3-600x300x220;3483;heigh220width300depth600;220;300;600;610;320;3.5;40;3;;ООО «АССУМ»;;;1;1 424
3489;Полка настенная ПНО-П-10/4 (1000х400х600);polka-nastennaya-pno-p-10-4-1000x400x600;3488;heigh600width400depth1000;600;400;1000;;;;;;;ООО «АССУМ»;;;;10 085
3490;Полка настенная ПНО-П-12/4 (1200х400х600);polka-nastennaya-pno-p-12-4-1200x400x600;3488;heigh600width400depth1200;600;400;1200;;;;;;;ООО «АССУМ»;;;;10 867
3491;Полка настенная ПНО-П-15/4 (1500х400х600);polka-nastennaya-pno-p-15-4-1500x400x600;3488;heigh600width400depth1500;600;400;1500;;;;;;;ООО «АССУМ»;;;;12 222
3492;Полка настенная ПНО-П-6/4 (600х400х600);polka-nastennaya-pno-p-6-4-600x400x600;3488;heigh600width400depth600;600;400;600;;;;;;;ООО «АССУМ»;;;;7 825
