IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP340;IP_PROP345;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP74;IP_PROP351;CV_PRICE_1
3509;Стеллаж производственный СТП-С-10/4 (1000х400х1800);stellazh-proizvodstvennyj-stp-s-10-4-1000x400x1800;3508;heigh1800width400depth1000;1800;400;1000;1020;0.08;420;25;180;24;;;11 025
3510;Стеллаж производственный СТП-С-10/5 (1000х500х1800);stellazh-proizvodstvennyj-stp-s-10-5-1000x500x1800;3508;heigh1800width500depth1000;1800;500;1000;1020;0.1;520;27.5;180;26.5;;;12 039
3511;Стеллаж производственный СТП-С-10/6 (1000х600х1800);stellazh-proizvodstvennyj-stp-s-10-6-1000x600x1800;3508;heigh1800width600depth1000;1800;600;1000;1020;0.11;620;30;180;29;;;15 329
3512;Стеллаж производственный СТП-С-12/4 (1200х400х1800);stellazh-proizvodstvennyj-stp-s-12-4-1200x400x1800;3508;heigh1800width400depth1200;1800;400;1200;1220;0.09;420;26.65;180;25.45;;;12 300
3513;Стеллаж производственный СТП-С-12/5 (1200х500х1800);stellazh-proizvodstvennyj-stp-s-12-5-1200x500x1800;3508;heigh1800width500depth1200;1800;500;1200;1220;0.11;520;29.75;180;28.75;;;13 520
3514;Стеллаж производственный СТП-С-12/6 (1200х600х1800);stellazh-proizvodstvennyj-stp-s-12-6-1200x600x1800;3508;heigh1800width600depth1200;1800;600;1200;1220;0.14;620;33.8;180;32;;;16 847
3515;Стеллаж производственный СТП-С-15/4 (1500х400х1800);stellazh-proizvodstvennyj-stp-s-15-4-1500x400x1800;3508;heigh1800width400depth1500;1800;400;1500;1520;0.11;420;31.5;180;30;;;14 202
3516;Стеллаж производственный СТП-С-15/5 (1500х500х1800);stellazh-proizvodstvennyj-stp-s-15-5-1500x500x1800;3508;heigh1800width500depth1500;1800;500;1500;1520;0.14;520;36.75;180;35.75;;;15 560
3517;Стеллаж производственный СТП-С-15/6 (1500х600х1800);stellazh-proizvodstvennyj-stp-s-15-6-1500x600x1800;3508;heigh1800width600depth1500;1800;600;1500;1520;0.17;620;42;180;41;;;19 091
3518;Стеллаж производственный СТП-С-18/4 (1800х400х1800);stellazh-proizvodstvennyj-stp-s-18-4-1800x400x1800;3508;heigh1800width400depth1800;1800;400;1800;1820;0.14;420;33.5;180;32;;;15 952
3519;Стеллаж производственный СТП-С-18/5 (1800х500х1800);stellazh-proizvodstvennyj-stp-s-18-5-1800x500x1800;3508;heigh1800width500depth1800;1800;500;1800;1820;0.17;520;38;180;37;;;17 699
3520;Стеллаж производственный СТП-С-18/6 (1800х600х1800);stellazh-proizvodstvennyj-stp-s-18-6-1800x600x1800;3508;heigh1800width600depth1800;1800;600;1800;1820;0.2;620;43;180;42;;;21 284
