IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP352;IP_PROP332;IP_PROP346;IP_PROP331;CV_PRICE_1
3573;Стол производственный СП-С-6/6 (600х600х850);stol-proizvodstvennyj-sp-s-6-6-600x600x850;3572;heigh850width600depth600;850;600;600;ООО «АССУМ»;;;;;4 358
3574;Стол производственный СП-С-7/6 (700х600х850);stol-proizvodstvennyj-sp-s-7-6-700x600x850;3572;heigh850width600depth700;850;600;700;ООО «АССУМ»;;;;;4 589
3575;Стол производственный СП-С-8/6 (800х600х850);stol-proizvodstvennyj-sp-s-8-6-800x600x850;3572;heigh850width600depth800;850;600;800;ООО «АССУМ»;;;;;5 004
3576;Стол производственный СП-С-9/6 (900х600х850);stol-proizvodstvennyj-sp-s-9-6-900x600x850;3572;heigh850width600depth900;850;600;900;ООО «АССУМ»;;;;;5 285
3577;Стол производственный СП-С-10/6 (1000х600х850);stol-proizvodstvennyj-sp-s-10-6-1000x600x850;3572;heigh850width600depth1000;850;600;1000;ООО «АССУМ»;;;;;5 544
3578;Стол производственный СП-С-11/6 (1100х600х850);stol-proizvodstvennyj-sp-s-11-6-1100x600x850;3572;heigh850width600depth1100;850;600;1100;ООО «АССУМ»;;;;;5 874
3579;Стол производственный СП-С-12/6 (1200х600х850);stol-proizvodstvennyj-sp-s-12-6-1200x600x850;3572;heigh850width600depth1200;850;600;1200;ООО «АССУМ»;;;;;6 286
3580;Стол производственный СП-С-13/6 (1300х600х850);stol-proizvodstvennyj-sp-s-13-6-1300x600x850;3572;heigh850width600depth1300;850;600;1300;ООО «АССУМ»;;;;;6 676
3581;Стол производственный СП-С-14/6 (1400х600х850);stol-proizvodstvennyj-sp-s-14-6-1400x600x850;3572;heigh850width600depth1400;850;600;1400;ООО «АССУМ»;;;;;6 980
3582;Стол производственный СП-С-15/6 (1500х600х850);stol-proizvodstvennyj-sp-s-15-6-1500x600x850;3572;heigh850width600depth1500;850;600;1500;ООО «АССУМ»;;;;;7 215
3583;Стол производственный СП-С-16/6 (1600х600х850);stol-proizvodstvennyj-sp-s-16-6-1600x600x850;3572;heigh850width600depth1600;850;600;1600;ООО «АССУМ»;;;;;7 526
3584;Стол производственный СП-С-17/6 (1700х600х850);stol-proizvodstvennyj-sp-s-17-6-1700x600x850;3572;heigh850width600depth1700;850;600;1700;ООО «АССУМ»;;;;;7 947
3585;Стол производственный СП-С-18/6 (1800х600х850);stol-proizvodstvennyj-sp-s-18-6-1800x600x850;3572;heigh850width600depth1800;850;600;1800;ООО «АССУМ»;;;;;8 213
3586;Стол производственный СП-С-6/7 (600х700х850);stol-proizvodstvennyj-sp-s-6-7-600x700x850;3572;heigh850width700depth600;850;700;600;ООО «АССУМ»;;;;;4 599
3587;Стол производственный СП-С-7/7 (700х700х850);stol-proizvodstvennyj-sp-s-7-7-700x700x850;3572;heigh850width700depth700;850;700;700;ООО «АССУМ»;;;;;4 893
3588;Стол производственный СП-С-8/7 (800х700х850);stol-proizvodstvennyj-sp-s-8-7-800x700x850;3572;heigh850width700depth800;850;700;800;ООО «АССУМ»;;;;;5 354
3589;Стол производственный СП-С-9/7 (900х700х850);stol-proizvodstvennyj-sp-s-9-7-900x700x850;3572;heigh850width700depth900;850;700;900;ООО «АССУМ»;;;;;5 612
3590;Стол производственный СП-С-10/7 (1000х700х850);stol-proizvodstvennyj-sp-s-10-7-1000x700x850;3572;heigh850width700depth1000;850;700;1000;ООО «АССУМ»;;;;;5 995
3591;Стол производственный СП-С-11/7 (1100х700х850);stol-proizvodstvennyj-sp-s-11-7-1100x700x850;3572;heigh850width700depth1100;850;700;1100;ООО «АССУМ»;;;;;6 251
3592;Стол производственный СП-С-12/7 (1200х700х850);stol-proizvodstvennyj-sp-s-12-7-1200x700x850;3572;heigh850width700depth1200;850;700;1200;ООО «АССУМ»;;;;;6 706
