IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP345;CV_PRICE_1
3846;Стол для сбора отходов СПСО-С-10/6 (1000х600х850);stol-dlya-sbora-otxodov-spso-s-10-6-1000x600x850;3845;heigh850width600depth1000;850;600;1000;ООО «АССУМ»;;;;;;;8 586
3847;Стол для сбора отходов СПСО-С-10/7 (1000х700х850);stol-dlya-sbora-otxodov-spso-s-10-7-1000x700x850;3845;heigh850width700depth1000;850;700;1000;ООО «АССУМ»;;;;;;;8 904
3848;Стол для сбора отходов СПСО-С-12/6 (1200х600х850);stol-dlya-sbora-otxodov-spso-s-12-6-1200x600x850;3845;heigh850width600depth1200;850;600;1200;ООО «АССУМ»;;;;;;;9 144
3849;Стол для сбора отходов СПСО-С-12/7 (1200х700х850);stol-dlya-sbora-otxodov-spso-s-12-7-1200x700x850;3845;heigh850width700depth1200;850;700;1200;ООО «АССУМ»;;;;;;;9 861
3850;Стол для сбора отходов СПСО-С-15/6 (1500х600х850);stol-dlya-sbora-otxodov-spso-s-15-6-1500x600x850;3845;heigh850width600depth1500;850;600;1500;ООО «АССУМ»;;;;;;;10 467
3851;Стол для сбора отходов СПСО-С-15/7 (1500х700х850);stol-dlya-sbora-otxodov-spso-s-15-7-1500x700x850;3845;heigh850width700depth1500;850;700;1500;ООО «АССУМ»;;;;;;;11 180
3852;Стол для сбора отходов СПСО-С-18/7 (1800х700х850);stol-dlya-sbora-otxodov-spso-s-18-7-1800x700x850;3845;heigh850width700depth1800;850;700;1800;ООО «АССУМ»;;;;;;;11 917
3853;Стол для сбора отходов СПСО-С-6/6 (600х600х850);stol-dlya-sbora-otxodov-spso-s-6-6-600x600x850;3845;heigh850width600depth600;850;600;600;ООО «АССУМ»;;;;;;;6 731
3854;Стол для сбора отходов СПСО-С-6/7 (600х700х850);stol-dlya-sbora-otxodov-spso-s-6-7-600x700x850;3845;heigh850width700depth600;850;700;600;ООО «АССУМ»;;;;;;;7 156
3855;Стол для сбора отходов СПСО-С-18/6 (1800х600х850);stol-dlya-sbora-otxodov-spso-s-18-6-1800x600x850;3845;heigh850width600depth1800;850;600;1800;ООО «АССУМ»;;;;;;;11 643
3857;Стол кондитерский СК-П-10/6 (1000х600х850);stol-konditerskij-sk-p-10-6-1000x600x850;3856;heigh850width600depth1000;850;600;1000;;1010;610;35.9;150;35;;18 793
3858;Стол кондитерский СК-П-10/7 (1000х700х850);stol-konditerskij-sk-p-10-7-1000x700x850;3856;heigh850width700depth1000;850;700;1000;;1010;710;40.1;150;39;;23 856
3859;Стол кондитерский СК-П-12/6 (1200х600х850);stol-konditerskij-sk-p-12-6-1200x600x850;3856;heigh850width600depth1200;850;600;1200;;1210;610;41.34;150;40;;21 609
3860;Стол кондитерский СК-П-12/7 (1200х700х850);stol-konditerskij-sk-p-12-7-1200x700x850;3856;heigh850width700depth1200;850;700;1200;;1210;710;46.88;150;46;;27 104
3861;Стол кондитерский СК-П-12/8 (1200х800х850);stol-konditerskij-sk-p-12-8-1200x800x850;3856;heigh850width800depth1200;850;800;1200;;1210;810;53;150;52;;29 411
3862;Стол кондитерский СК-П-15/6 (1500х600х850);stol-konditerskij-sk-p-15-6-1500x600x850;3856;heigh850width600depth1500;850;600;1500;;1510;610;50.8;150;49;;25 655
3863;Стол кондитерский СК-П-15/7 (1500х700х850);stol-konditerskij-sk-p-15-7-1500x700x850;3856;heigh850width700depth1500;850;700;1500;;1510;710;57.5;150;56;;29 551
3864;Стол кондитерский СК-П-15/8 (1500х800х850);stol-konditerskij-sk-p-15-8-1500x800x850;3856;heigh850width800depth1500;850;800;1500;;1510;810;64.1;150;62.48;0.18;32 384
3865;Стол кондитерский СК-П-18/6 (1800х600х850);stol-konditerskij-sk-p-18-6-1800x600x850;3856;heigh850width600depth1800;850;600;1800;;1810;610;56.76;150;58;;29 548
3866;Стол кондитерский СК-П-18/7 (1800х700х850);stol-konditerskij-sk-p-18-7-1800x700x850;3856;heigh850width700depth1800;850;700;1800;;1810;710;62.72;150;64;;36 632
