IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP83;IP_PROP321;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
1911;Альфа 64 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;;html;nabor_shkafov_alfa_64_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_2_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923679;125;0.270;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1911;Альфа 64 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;;html;nabor_shkafov_alfa_64_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_3_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923679;125;0.270;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1911;Альфа 64 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;;html;nabor_shkafov_alfa_64_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_4_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923680;125;0.270;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1911;Альфа 64 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;;html;nabor_shkafov_alfa_64_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_1_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1618923681;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f2353f4-7297-11eb-b5be-00155d001f02_IM-00001111_Alfa%2064%20230/photo_5_IM-00001111_Alfa%2064%20230Nabor%20shkafov.jpg?1653656755;125;0.270;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1912;Альфа 63 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;;html;nabor_shkafov_alfa_63_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 63 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 63 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_2_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923676;125;0.270;1520;550;2020;Альфа 63;Дуб Кобург;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;58 450;RUB
1912;Альфа 63 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;;html;nabor_shkafov_alfa_63_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 63 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 63 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_3_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923676;125;0.270;1520;550;2020;Альфа 63;Дуб Кобург;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;58 450;RUB
1912;Альфа 63 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;;html;nabor_shkafov_alfa_63_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 63 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 63 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_4_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923676;125;0.270;1520;550;2020;Альфа 63;Дуб Кобург;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;58 450;RUB
1912;Альфа 63 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;;html;nabor_shkafov_alfa_63_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_1_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1618923678;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 63 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 63 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ce2fd440-7296-11eb-b5be-00155d001f02_IM-00001110_Alfa%2063%20230/photo_5_IM-00001110_Alfa%2063%20230Nabor%20shkafov.jpg?1653656755;125;0.270;1520;550;2020;Альфа 63;Дуб Кобург;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;58 450;RUB
1913;Альфа 62 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;;html;nabor_shkafov_alfa_62_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 62 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 62 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_2_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923672;125;0.270;1520;550;2020;Альфа 62;Орех Пегас;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1913;Альфа 62 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;;html;nabor_shkafov_alfa_62_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 62 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 62 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_3_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923673;125;0.270;1520;550;2020;Альфа 62;Орех Пегас;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
