IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP322;IP_PROP83;IP_PROP323;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
2092;Альфа 64.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e8709d39-c249-11e9-8b35-00155d00bf04__0000030187_Alfa%2064.40/photo_1__0000030187_Alfa%2064.40Stellazh.jpg?1631883715;;html;stellazh_alfa_64_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e8709d39-c249-11e9-8b35-00155d00bf04__0000030187_Alfa%2064.40/photo_1__0000030187_Alfa%2064.40Stellazh.jpg?1631883715;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 64.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e8709d39-c249-11e9-8b35-00155d00bf04__0000030187_Alfa%2064.40/photo_2__0000030187_Alfa%2064.40Stellazh.jpg?1631883713;42;0.100;760;390;2020;Альфа 64;Дуб Кронберг;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2092;Альфа 64.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e8709d39-c249-11e9-8b35-00155d00bf04__0000030187_Alfa%2064.40/photo_1__0000030187_Alfa%2064.40Stellazh.jpg?1631883715;;html;stellazh_alfa_64_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e8709d39-c249-11e9-8b35-00155d00bf04__0000030187_Alfa%2064.40/photo_1__0000030187_Alfa%2064.40Stellazh.jpg?1631883715;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 64.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e8709d39-c249-11e9-8b35-00155d00bf04__0000030187_Alfa%2064.40/photo_3__0000030187_Alfa%2064.40Stellazh.jpg?1653656507;42;0.100;760;390;2020;Альфа 64;Дуб Кронберг;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2093;Альфа 63.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/cadc2977-ed05-11e6-bd5e-00155d02200f__0000002754_Alfa%2063.40/photo_1__0000002754_Alfa%2063.40Stellazh.jpg?1631883702;;html;stellazh_alfa_63_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/cadc2977-ed05-11e6-bd5e-00155d02200f__0000002754_Alfa%2063.40/photo_1__0000002754_Alfa%2063.40Stellazh.jpg?1631883702;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 63.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/cadc2977-ed05-11e6-bd5e-00155d02200f__0000002754_Alfa%2063.40/photo_2__0000002754_Alfa%2063.40Stellazh.jpg?1631883700;42;0.100;760;390;2020;Альфа 63;Дуб Кобург;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2093;Альфа 63.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/cadc2977-ed05-11e6-bd5e-00155d02200f__0000002754_Alfa%2063.40/photo_1__0000002754_Alfa%2063.40Stellazh.jpg?1631883702;;html;stellazh_alfa_63_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/cadc2977-ed05-11e6-bd5e-00155d02200f__0000002754_Alfa%2063.40/photo_1__0000002754_Alfa%2063.40Stellazh.jpg?1631883702;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 63.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/cadc2977-ed05-11e6-bd5e-00155d02200f__0000002754_Alfa%2063.40/photo_3__0000002754_Alfa%2063.40Stellazh.jpg?1653656470;42;0.100;760;390;2020;Альфа 63;Дуб Кобург;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2094;Альфа 62.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/c32b0687-cc10-11e1-91d9-001517fdaa50_00009467420_Alfa%2062.40/photo_1_00009467420_Alfa%2062.40Stellazh.jpg?1631883682;;html;stellazh_alfa_62_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b0687-cc10-11e1-91d9-001517fdaa50_00009467420_Alfa%2062.40/photo_1_00009467420_Alfa%2062.40Stellazh.jpg?1631883682;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 62.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b0687-cc10-11e1-91d9-001517fdaa50_00009467420_Alfa%2062.40/photo_2_00009467420_Alfa%2062.40Stellazh.jpg?1631883680;42;0.100;760;390;2020;Альфа 62;Орех Пегас;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2094;Альфа 62.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/c32b0687-cc10-11e1-91d9-001517fdaa50_00009467420_Alfa%2062.40/photo_1_00009467420_Alfa%2062.40Stellazh.jpg?1631883682;;html;stellazh_alfa_62_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b0687-cc10-11e1-91d9-001517fdaa50_00009467420_Alfa%2062.40/photo_1_00009467420_Alfa%2062.40Stellazh.jpg?1631883682;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 62.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b0687-cc10-11e1-91d9-001517fdaa50_00009467420_Alfa%2062.40/photo_3_00009467420_Alfa%2062.40Stellazh.jpg?1653570093;42;0.100;760;390;2020;Альфа 62;Орех Пегас;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2095;Альфа 61.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;;html;stellazh_alfa_61_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 61.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_2_00009464062_Alfa%2061.40Stellazh.jpg?1631883662;42;0.100;760;390;2020;Альфа 61;Ольха;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2095;Альфа 61.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;;html;stellazh_alfa_61_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 61.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_3_00009464062_Alfa%2061.40Stellazh.jpg?1631883662;42;0.100;760;390;2020;Альфа 61;Ольха;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2095;Альфа 61.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;;html;stellazh_alfa_61_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 61.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_4_00009464062_Alfa%2061.40Stellazh.jpg?1631883663;42;0.100;760;390;2020;Альфа 61;Ольха;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2095;Альфа 61.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;;html;stellazh_alfa_61_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 61.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_5_00009464062_Alfa%2061.40Stellazh.jpg?1631883664;42;0.100;760;390;2020;Альфа 61;Ольха;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
