IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP322;IP_PROP83;IP_PROP321;IP_PROP323;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
2337;Альфа 64.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/3b59f3c2-bcdd-11e9-8b35-00155d00bf04__0000029752_Alfa%2064.10/photo_1__0000029752_Alfa%2064.10Stol.jpg?1658236026;;html;stol_alfa_64_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/3b59f3c2-bcdd-11e9-8b35-00155d00bf04__0000029752_Alfa%2064.10/photo_1__0000029752_Alfa%2064.10Stol.jpg?1658236026;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Альфа 64.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в цвете «Дуб Кронберг», который напоминает натуральную древесину, выжженную солнцем.Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p>Особенности модели.</p><p>– Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.<br/>– Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм. <br/>– Для расширения рабочего пространства глубина стола увеличена до 72 см.<br/>– Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. <br/>– Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.<br/>– Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.<br/>– К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.<br/>– Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</p><p>Надежность и качество.</p><p>– Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.<br/>– ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).<br/>– Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.<br/>– Понятная инструкция и необходимая фурнитура для сборки в комплекте.<br/>– Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/3b59f3c2-bcdd-11e9-8b35-00155d00bf04__0000029752_Alfa%2064.10/photo_2__0000029752_Alfa%2064.10Stol.jpg?1658236023;38;0.080;1500х720;740;;Альфа 64;Дуб Кронберг;1;8 лет;;;Главная;Офисная мебель;Офисные столы;Столы для персонала;12 450;RUB
2337;Альфа 64.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/3b59f3c2-bcdd-11e9-8b35-00155d00bf04__0000029752_Alfa%2064.10/photo_1__0000029752_Alfa%2064.10Stol.jpg?1658236026;;html;stol_alfa_64_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/3b59f3c2-bcdd-11e9-8b35-00155d00bf04__0000029752_Alfa%2064.10/photo_1__0000029752_Alfa%2064.10Stol.jpg?1658236026;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Альфа 64.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в цвете «Дуб Кронберг», который напоминает натуральную древесину, выжженную солнцем.Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p>Особенности модели.</p><p>– Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.<br/>– Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм. <br/>– Для расширения рабочего пространства глубина стола увеличена до 72 см.<br/>– Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. <br/>– Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.<br/>– Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.<br/>– К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.<br/>– Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</p><p>Надежность и качество.</p><p>– Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.<br/>– ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).<br/>– Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.<br/>– Понятная инструкция и необходимая фурнитура для сборки в комплекте.<br/>– Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/3b59f3c2-bcdd-11e9-8b35-00155d00bf04__0000029752_Alfa%2064.10/photo_3__0000029752_Alfa%2064.10Stol.jpg?1658236024;38;0.080;1500х720;740;;Альфа 64;Дуб Кронберг;1;8 лет;;;Главная;Офисная мебель;Офисные столы;Столы для персонала;12 450;RUB
2338;Альфа 63.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/a9112053-ece8-11e6-bd5e-00155d02200f__0000002706_Alfa%2063.10/photo_1__0000002706_Alfa%2063.10Stol.jpg?1658235926;;html;stol_alfa_63_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/a9112053-ece8-11e6-bd5e-00155d02200f__0000002706_Alfa%2063.10/photo_1__0000002706_Alfa%2063.10Stol.jpg?1658235926;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Альфа 63.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в современном светлом цвете «Дуб Кобург», который позволяет визуально расширить пространство офиса.Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p>Особенности модели.</p><p>– Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.<br/>– Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм. <br/>– Для расширения рабочего пространства глубина стола увеличена до 72 см.<br/>– Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. <br/>– Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.<br/>– Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.<br/>– К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.<br/>– Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</p><p>Надежность и качество.</p><p>– Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.<br/>– ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).<br/>– Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.<br/>– Понятная инструкция и необходимая фурнитура для сборки в комплекте.<br/>– Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/a9112053-ece8-11e6-bd5e-00155d02200f__0000002706_Alfa%2063.10/photo_2__0000002706_Alfa%2063.10Stol.jpg?1658235923;38;0.080;1500;720;740;Альфа 63;Дуб Кобург;1;8 лет;;;Главная;Акции;Акции по группам мебели;Компьютерные столы по акции;12 450;RUB
2338;Альфа 63.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/a9112053-ece8-11e6-bd5e-00155d02200f__0000002706_Alfa%2063.10/photo_1__0000002706_Alfa%2063.10Stol.jpg?1658235926;;html;stol_alfa_63_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/a9112053-ece8-11e6-bd5e-00155d02200f__0000002706_Alfa%2063.10/photo_1__0000002706_Alfa%2063.10Stol.jpg?1658235926;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Альфа 63.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в современном светлом цвете «Дуб Кобург», который позволяет визуально расширить пространство офиса.Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p>Особенности модели.</p><p>– Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.<br/>– Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм. <br/>– Для расширения рабочего пространства глубина стола увеличена до 72 см.<br/>– Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. <br/>– Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.<br/>– Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.<br/>– К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.<br/>– Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</p><p>Надежность и качество.</p><p>– Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.<br/>– ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).<br/>– Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.<br/>– Понятная инструкция и необходимая фурнитура для сборки в комплекте.<br/>– Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/a9112053-ece8-11e6-bd5e-00155d02200f__0000002706_Alfa%2063.10/photo_3__0000002706_Alfa%2063.10Stol.jpg?1658235924;38;0.080;1500;720;740;Альфа 63;Дуб Кобург;1;8 лет;;;Главная;Акции;Акции по группам мебели;Компьютерные столы по акции;12 450;RUB
2339;Альфа 62.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/49b16a89-cbda-11e1-91d9-001517fdaa50_00009467403_Alfa%2062.10/photo_1_00009467403_Alfa%2062.10Stol.jpg?1658235727;;html;stol_alfa_62_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/49b16a89-cbda-11e1-91d9-001517fdaa50_00009467403_Alfa%2062.10/photo_1_00009467403_Alfa%2062.10Stol.jpg?1658235727;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Альфа 62.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в цвете «Орех Пегас», который придает атмосферу рабочей строгости.Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p>Особенности модели.</p><p>– Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.<br/>– Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм. <br/>– Для расширения рабочего пространства глубина стола увеличена до 72 см.<br/>– Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. <br/>– Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.<br/>– Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.<br/>– К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.<br/>– Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</p><p>Надежность и качество.</p><p>– Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.<br/>– ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).<br/>– Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.<br/>– Понятная инструкция и необходимая фурнитура для сборки в комплекте.<br/>– Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/49b16a89-cbda-11e1-91d9-001517fdaa50_00009467403_Alfa%2062.10/photo_2_00009467403_Alfa%2062.10Stol.jpg?1658235724;38;0.080;1500;720;740;Альфа 62;Орех Пегас;1;8 лет;;;Главная;Офисная мебель;Офисные столы;Столы для персонала;12 450;RUB
2339;Альфа 62.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/49b16a89-cbda-11e1-91d9-001517fdaa50_00009467403_Alfa%2062.10/photo_1_00009467403_Alfa%2062.10Stol.jpg?1658235727;;html;stol_alfa_62_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/49b16a89-cbda-11e1-91d9-001517fdaa50_00009467403_Alfa%2062.10/photo_1_00009467403_Alfa%2062.10Stol.jpg?1658235727;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Альфа 62.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в цвете «Орех Пегас», который придает атмосферу рабочей строгости.Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p>Особенности модели.</p><p>– Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.<br/>– Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм. <br/>– Для расширения рабочего пространства глубина стола увеличена до 72 см.<br/>– Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. <br/>– Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.<br/>– Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.<br/>– К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.<br/>– Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</p><p>Надежность и качество.</p><p>– Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.<br/>– ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).<br/>– Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.<br/>– Понятная инструкция и необходимая фурнитура для сборки в комплекте.<br/>– Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/49b16a89-cbda-11e1-91d9-001517fdaa50_00009467403_Alfa%2062.10/photo_3_00009467403_Alfa%2062.10Stol.jpg?1658235725;38;0.080;1500;720;740;Альфа 62;Орех Пегас;1;8 лет;;;Главная;Офисная мебель;Офисные столы;Столы для персонала;12 450;RUB
2340;Альфа 61.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3ae-a3e3-11e1-b0a2-001517fdaa50_00009464044_Alfa%2061.10/photo_1_00009464044_Alfa%2061.10Stol.jpg?1658235671;;html;stol_alfa_61_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3ae-a3e3-11e1-b0a2-001517fdaa50_00009464044_Alfa%2061.10/photo_1_00009464044_Alfa%2061.10Stol.jpg?1658235671;"<div class=""p html-content"" itemprop=""description"">Рабочий стол «Альфа 61.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в классическом светло-янтарном цвете «Ольха».Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p><b>Особенности модели.</b></p><p></p><ul><li>Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.</li><li>Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм.</li><li>Для расширения рабочего пространства глубина стола увеличена до 72 см.</li><li>Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола.</li><li>Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.</li><li>Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.</li><li>К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.</li><li>Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</li></ul><p><b>Надежность и качество.</b></p><p></p><ul><li>Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.</li><li>ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</li><li>Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.</li><li>Понятная инструкция и необходимая фурнитура для сборки в комплекте.</li><li>Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</li></ul></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3ae-a3e3-11e1-b0a2-001517fdaa50_00009464044_Alfa%2061.10/photo_2_00009464044_Alfa%2061.10Stol.jpg?1658235668;38;0.080;1500;720;740;Альфа 61;Ольха;1;8 лет;;;Главная;Офисная мебель;Офисная мебель;;12 450;RUB
2340;Альфа 61.10;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3ae-a3e3-11e1-b0a2-001517fdaa50_00009464044_Alfa%2061.10/photo_1_00009464044_Alfa%2061.10Stol.jpg?1658235671;;html;stol_alfa_61_10;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3ae-a3e3-11e1-b0a2-001517fdaa50_00009464044_Alfa%2061.10/photo_1_00009464044_Alfa%2061.10Stol.jpg?1658235671;"<div class=""p html-content"" itemprop=""description"">Рабочий стол «Альфа 61.10» является частью модульного набора мебели для офиса «Альфа».Стол выполнен в классическом светло-янтарном цвете «Ольха».Подходит для работы дома или в офисе.Просторная рабочая поверхность стола позволяет удобно разместить монитор, канцелярские принадлежности и документы.<p><b>Особенности модели.</b></p><p></p><ul><li>Благодаря лаконичным формам рабочий стол с легкостью впишется в любой интерьер.</li><li>Опоры и столешница стола выполнены из ЛДСП толщиной 22 мм.</li><li>Для расширения рабочего пространства глубина стола увеличена до 72 см.</li><li>Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола.</li><li>Лицевая панель может устанавливаться как с краю, так и по центру столешницы. Это позволит при необходимости комфортно разместить людей с двух сторон стола.</li><li>Стол можно укомплектовать подходящими по размеру приставками и тумбами, которые позволят расширить рабочую область и создадут дополнительные места для хранения бумаг и документов.</li><li>К столу можно приобрести подставку для системного блока и выдвижную панель, это сэкономит свободное место на рабочей поверхности.</li><li>Для обустройства офиса или рабочего кабинета в одном стиле к столу можно подобрать стеллажи и шкафы различных размеров.</li></ul><p><b>Надежность и качество.</b></p><p></p><ul><li>Стол произведен из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям. Класс эмиссии плиты Е1 говорит об экологической безопасности.</li><li>ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</li><li>Торцы деталей окантованы противоударным кантом ПВХ толщиной 2 и 0,4 мм, который продлевает срок службы мебели.</li><li>Понятная инструкция и необходимая фурнитура для сборки в комплекте.</li><li>Гарантия на стол – 8 лет. Это больше, чем по ГОСТу.</li></ul></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3ae-a3e3-11e1-b0a2-001517fdaa50_00009464044_Alfa%2061.10/photo_3_00009464044_Alfa%2061.10Stol.jpg?1658235669;38;0.080;1500;720;740;Альфа 61;Ольха;1;8 лет;;;Главная;Офисная мебель;Офисная мебель;;12 450;RUB
2341;Рубин 40.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/50a67306-b83b-11e9-8b33-00155d00bf04__0000029601_Rubin%2040.40/photo_1__0000029601_Rubin%2040.40Stol.jpg?1658235984;;html;stol_rubin_40_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/50a67306-b83b-11e9-8b33-00155d00bf04__0000029601_Rubin%2040.40/photo_1__0000029601_Rubin%2040.40Stol.jpg?1658235984;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Рубин 40.40» является частью модульного набора мебели для офиса «Рубин».Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола. Лицевая панель может устанавливаться как с краю, так и по центру столешницы.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/50a67306-b83b-11e9-8b33-00155d00bf04__0000029601_Rubin%2040.40/photo_2__0000029601_Rubin%2040.40Stol.jpg?1658235981;33;0.070;1500;700;750;Рубин 40;Сосна Астрид;1;8 лет;;;Главная;Детская мебель;Столы детские;Письменные детские столы;10 750;RUB
2341;Рубин 40.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/50a67306-b83b-11e9-8b33-00155d00bf04__0000029601_Rubin%2040.40/photo_1__0000029601_Rubin%2040.40Stol.jpg?1658235984;;html;stol_rubin_40_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/50a67306-b83b-11e9-8b33-00155d00bf04__0000029601_Rubin%2040.40/photo_1__0000029601_Rubin%2040.40Stol.jpg?1658235984;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Рабочий стол «Рубин 40.40» является частью модульного набора мебели для офиса «Рубин».Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола. Лицевая панель может устанавливаться как с краю, так и по центру столешницы.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/50a67306-b83b-11e9-8b33-00155d00bf04__0000029601_Rubin%2040.40/photo_3__0000029601_Rubin%2040.40Stol.jpg?1658235981;33;0.070;1500;700;750;Рубин 40;Сосна Астрид;1;8 лет;;;Главная;Детская мебель;Столы детские;Письменные детские столы;10 750;RUB
