IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP322;IP_PROP83;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
2624;Альфа 64.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_1__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878889;;html;polka_lev_prav_alfa_64_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_1__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878889;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Альфа 64.100» является частью коллекции «Альфа 64».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Дуб «Кронберг».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Дуб «Кронберг», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».</p><p>Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Дуб «Кронберг» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_2__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878885;14;0.032;1020;250;340;Альфа 64;Дуб Кронберг;1;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Офисные полки;5 570;RUB
2624;Альфа 64.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_1__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878889;;html;polka_lev_prav_alfa_64_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_1__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878889;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Альфа 64.100» является частью коллекции «Альфа 64».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Дуб «Кронберг».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Дуб «Кронберг», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».</p><p>Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Дуб «Кронберг» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_3__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878886;14;0.032;1020;250;340;Альфа 64;Дуб Кронберг;1;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Офисные полки;5 570;RUB
2624;Альфа 64.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_1__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878889;;html;polka_lev_prav_alfa_64_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_1__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1652878889;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Альфа 64.100» является частью коллекции «Альфа 64».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Дуб «Кронберг».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Дуб «Кронберг», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».</p><p>Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Дуб «Кронберг» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e6c2a1b0-bbc2-11ec-b771-00155d00bf04__0000056253_Alfa%2064.100/photo_4__0000056253_Alfa%2064.100Polka%20(lev-prav).jpg?1653656533;14;0.032;1020;250;340;Альфа 64;Дуб Кронберг;1;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Офисные полки;5 570;RUB
2625;Альфа 63.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_1__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878884;;html;polka_lev_prav_alfa_63_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_1__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878884;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Альфа 63.100» является частью коллекции «Альфа 63».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Дуб «Кобург».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Дуб «Кобург», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».</p><p>Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Дуб «Кобург» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_2__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878881;14;0.032;1020;250;340;Альфа 63;Дуб Кобург;1;8 лет;Главная;Домашние кабинеты;Полки в кабинет;;5 570;RUB
2625;Альфа 63.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_1__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878884;;html;polka_lev_prav_alfa_63_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_1__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878884;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Альфа 63.100» является частью коллекции «Альфа 63».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Дуб «Кобург».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Дуб «Кобург», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».</p><p>Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Дуб «Кобург» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_3__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878882;14;0.032;1020;250;340;Альфа 63;Дуб Кобург;1;8 лет;Главная;Домашние кабинеты;Полки в кабинет;;5 570;RUB
2625;Альфа 63.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_1__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878884;;html;polka_lev_prav_alfa_63_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_1__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1652878884;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Альфа 63.100» является частью коллекции «Альфа 63».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Дуб «Кобург».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Дуб «Кобург», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».</p><p>Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Дуб «Кобург» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/eb395986-bbc1-11ec-b771-00155d00bf04__0000056252_Alfa%2063.100/photo_4__0000056252_Alfa%2063.100Polka%20(lev-prav).jpg?1653656532;14;0.032;1020;250;340;Альфа 63;Дуб Кобург;1;8 лет;Главная;Домашние кабинеты;Полки в кабинет;;5 570;RUB
2626;Рубин 40.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_1__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878880;;html;polka_lev_prav_rubin_40_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_1__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878880;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Рубин 40.100» является частью коллекции «Рубин 40».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Сосна «Астрид».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Сосна «Астрид», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Сосна «Астрид» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_2__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878876;14;0.032;1020;250;340;Рубин 40;Сосна Астрид;1;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Офисные полки;5 430;RUB
2626;Рубин 40.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_1__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878880;;html;polka_lev_prav_rubin_40_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_1__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878880;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Рубин 40.100» является частью коллекции «Рубин 40».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Сосна «Астрид».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Сосна «Астрид», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Сосна «Астрид» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_3__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878877;14;0.032;1020;250;340;Рубин 40;Сосна Астрид;1;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Офисные полки;5 430;RUB
2626;Рубин 40.100;https://davitamebel.ru/upload/resize_cache/product/275_206_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_1__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878880;;html;polka_lev_prav_rubin_40_100;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_1__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1652878880;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p> Полка «Рубин 40.100» является частью коллекции «Рубин 40».Полка выполнена из ЛДСП повышенной прочности в актуальном цвете Сосна «Астрид».Навесная полка - удачное решение для организации хранения книг, документов формата А4 и других полезных мелочей.Данный модуль гармонично сочетается с письменными столами коллекций «DaVita-мебель», выполненными в цвете Сосна «Астрид», а также может использоваться как самостоятельный предмет мебели для декорирования пространства.Если разместить рядом две полки, их общий размер идеально подойдет для навешивания над кроватями из подростковых и спален «DaVita-мебель».Модуль разделен перегородками на четыре открытых ниши и одну нишу, закрытую дверцей. Навесить полку на стену можно как с правым, так и с левым открыванием дверцы.</p><p>Особенности модели.</p><p>–Актуальная древесная текстура Сосна «Астрид» и простая геометрия полок с легкостью впишется в любой интерьер комнаты или рабочего кабинета.</p><p>–Корпус и дверца полки выполнены из ЛДСП толщиной 16 мм.</p><p>–Торцы деталей окантованы противоударным кантом ПВХ толщиной 0,4 мм.</p><p>–Демпфер обеспечивает мягкое закрывание дверцы.</p><p>–Максимальная нагрузка до 25 кг.</p><p>Надежность и качество.</p><p>–Полка произведена из ЛДСП повышенной плотности, материал устойчив к механическим и термическим воздействиям.Класс эмиссии плиты Е1, что говорит об экологической безопасности.</p><p>–ЛДСП выдерживает min 300 циклов на истирание, что почти в 5 раз больше, чем требуется по ГОСТу (min 65).</p><p>–Противоударный кант ПВХ продлевает срок службы мебели.</p><p>–Понятная инструкция и необходимая фурнитура для сборки поставляются в комплекте.</p><p>–Гарантия – 8 лет. Это больше, чем по ГОСТу.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/94260d0b-bba9-11ec-b771-00155d00bf04__0000056196_Rubin%2040.100/photo_4__0000056196_Rubin%2040.100Polka%20(lev-prav).jpg?1653656532;14;0.032;1020;250;340;Рубин 40;Сосна Астрид;1;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Офисные полки;5 430;RUB
2627;Лидер 82.07;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ffc123aa-cc14-11e1-91d9-001517fdaa50_00009467505_Lider%2082.07/photo_1_00009467505_Lider%2082.07Tumba.jpg?1657198998;;html;tumba_lider_82_07;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ffc123aa-cc14-11e1-91d9-001517fdaa50_00009467505_Lider%2082.07/photo_1_00009467505_Lider%2082.07Tumba.jpg?1657198998;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Многофункциональная тумба «Лидер 82.07» является частью модульного набора для офиса «Лидер».Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.В изделии используются демпферы для мягкого закрывания дверок.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ffc123aa-cc14-11e1-91d9-001517fdaa50_00009467505_Lider%2082.07/photo_2_00009467505_Lider%2082.07Tumba.jpg?1657198992;53;0.110;1350;450;890;Лидер 82;Орех Пегас;2;8 лет;Главная;Офисная мебель;Офисные тумбы и полки;Многофункциональные тумбы;28 590;RUB
