IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
2759;Металлический шкаф для документов ШАМ-11 ШАМ-11/600;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-ShAM-11/600;2758;heigh1860width600depth500;1860;600;500;;12 621
2760;Металлический шкаф для документов ШАМ-11 ШАМ-11/400;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-ShAM-11/400;2758;heigh1860width850depth400;1860;850;400;;13 469
2761;Металлический шкаф для документов ШАМ-11 ШАМ-11;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-ShAM-11;2758;heigh1860width850depth500;1860;850;500;;14 920
2762;Металлический шкаф для документов ШАМ-11 ШАМ-11/920;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-ShAM-11/920;2758;heigh1830width920depth450;1830;920;450;;14 874
2763;Металлический шкаф для документов ШАМ-11 ШАМ-11/920-370;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-ShAM-11/920-370;2758;heigh1830width920depth370;1830;920;370;;13 067
2764;Металлический шкаф для документов ШАМ-11 ШАМ-11-20;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-ShAM-11-20;2758;heigh2000width850depth500;2000;850;500;;20 695
2766;Металлический шкаф для документов ШАМ-12 ШАМ-12/680;Metallicheskij-shkaf-dlja-dokumentov-ShAM-12-ShAM-12/680;2765;heigh680width425depth500;680;425;500;;5 408
2767;Металлический шкаф для документов ШАМ-12 ШАМ-12/1320;Metallicheskij-shkaf-dlja-dokumentov-ShAM-12-ShAM-12/1320;2765;heigh1320width425depth500;1320;425;500;;8 721
2768;Металлический шкаф для документов ШАМ-12 ШАМ-12;Metallicheskij-shkaf-dlja-dokumentov-ShAM-12-ShAM-12;2765;heigh1860width425depth500;1860;425;500;;10 525
2770;Металлический шкаф для документов ШАМ-0.5 ШАМ-0.5/400;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5-ShAM-0.5/400;2769;heigh930width850depth400;930;850;400;;8 801
2771;Металлический шкаф для документов ШАМ-0.5 ШАМ-0.5;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5-ShAM-0.5;2769;heigh930width850depth500;930;850;500;;9 900
2772;Металлический шкаф для документов ШАМ-0.5 ШАМ-0.5/920;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5-ShAM-0.5/920;2769;heigh832width920depth450;832;920;450;;9 521
2773;Металлический шкаф для документов ШАМ-0.5 ШАМ-0.5/920-370;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5-ShAM-0.5/920-370;2769;heigh832width920depth370;832;920;370;;8 364
2775;Металлический шкаф-купе для документов ШАМ-11.К;Metallicheskij-shkaf-kupe-dlja-dokumentov-ShAM-11.K;2774;heigh1860width960depth450weight56;1860;960;450;56;21 046
2777;Металлический шкаф для документов  ШАМ-24.О;Metallicheskij-shkaf-dlja-dokumentov--ShAM-24.O;2776;heigh1860width600depth500weight36;1860;600;500;36;11 924
2779;Дополнительная полка ШАМ для ШАМ-12;Dopolnitel'naja-polka-ShAM-dlja-ShAM-12;2778;heigh25width410depth450;25;410;450;;413
2780;Дополнительная полка ШАМ для ШАМ-11/400;Dopolnitel'naja-polka-ShAM-dlja-ShAM-11/400;2778;heigh25width835depth360;25;835;360;;584
2781;Дополнительная полка ШАМ для ШАМ-11;Dopolnitel'naja-polka-ShAM-dlja-ShAM-11;2778;heigh25width835depth460;25;835;460;;686
2782;Дополнительная полка ШАМ для ШАМ-11.K;Dopolnitel'naja-polka-ShAM-dlja-ShAM-11.K;2778;heigh25width950depth360;25;950;360;;892
2783;Дополнительная полка ШАМ для ШАМ-11/920;Dopolnitel'naja-polka-ShAM-dlja-ShAM-11/920;2778;heigh25width920depth410;25;920;410;;714
2784;Дополнительная полка ШАМ для ШАМ-11/600;Dopolnitel'naja-polka-ShAM-dlja-ShAM-11/600;2778;heigh25width595depth450;25;595;450;;516
2785;Дополнительная полка ШАМ для ШАМ-11/920-370;Dopolnitel'naja-polka-ShAM-dlja-ShAM-11/920-370;2778;heigh25width915depth320;25;915;320;;561
