IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;CR_PRICE_1_RUB
3480;Комплекты гардеробной системы ТИТАН-GS-350 / GS-450 Титан - GS - 350 комплект №1;Komplekty-garderobnoj-sistemy-TITAN-GS-350-/-GS-450-Titan---GS---350-komplekt-№1;3479;heigh1156width2400depth350;1156;2400;350;8 914
3481;Комплекты гардеробной системы ТИТАН-GS-350 / GS-450 Титан - GS - 450 комплект №2;Komplekty-garderobnoj-sistemy-TITAN-GS-350-/-GS-450-Titan---GS---450-komplekt-№2;3479;heigh1156width2400depth450;1156;2400;450;11 315
3483;Комплекты гардеробной системы ТИТАН-GS-350S / GS-450S Титан - GS - 350S комплект №3;Komplekty-garderobnoj-sistemy-TITAN-GS-350S-/-GS-450S-Titan---GS---350S-komplekt-№3;3482;heigh2050width1000depth350;2050;1000;350;5 253
3484;Комплекты гардеробной системы ТИТАН-GS-350S / GS-450S Титан - GS - 450S комплект №4;Komplekty-garderobnoj-sistemy-TITAN-GS-350S-/-GS-450S-Titan---GS---450S-komplekt-№4;3482;heigh2050width1000depth450;2050;1000;450;6 054
3486;Шкаф гардеробный GS;Shkaf-garderobnyj-GS;3485;heigh866width492depth585;866;492;585;10 715
3488;Рельс несущий Рельс несущий 700;Rel's-nesuschij-Rel's-nesuschij-700;3487;heigh700;700;;;256
3489;Рельс несущий Рельс несущий 1000;Rel's-nesuschij-Rel's-nesuschij-1000;3487;heigh1000;1000;;;320
3490;Рельс несущий Рельс несущий 1260;Rel's-nesuschij-Rel's-nesuschij-1260;3487;heigh1260;1260;;;397
3491;Рельс несущий Рельс несущий 1560;Rel's-nesuschij-Rel's-nesuschij-1560;3487;heigh1560;1560;;;491
3493;Стойка Стойка 512;Stojka-Stojka-512;3492;heigh512;512;;;178
3494;Стойка Стойка 1025;Stojka-Stojka-1025;3492;heigh1025;1025;;;315
3495;Стойка Стойка 1156;Stojka-Stojka-1156;3492;heigh1156;1156;;;339
3496;Стойка Стойка 1536;Stojka-Stojka-1536;3492;heigh1536;1536;;;440
3497;Стойка Стойка 1920;Stojka-Stojka-1920;3492;heigh1920;1920;;;565
3499;Кронштейн для полки Кронштейн для полки / 335;Kronshtejn-dlja-polki-Kronshtejn-dlja-polki-/-335;3498;heigh335;335;;;154
3500;Кронштейн для полки Кронштейн для полки / 435;Kronshtejn-dlja-polki-Kronshtejn-dlja-polki-/-435;3498;heigh435;435;;;197
3502;Заглушки для кронштейна GS;Zaglushki-dlja-kronshtejna-GS;3501;heigh420;420;;;158
3504;Полка сетчатая Полка сетчатая 463х306;Polka-setchataja-Polka-setchataja-463h306;3503;heigh463width306;463;306;;397
3505;Полка сетчатая Полка сетчатая 603х306;Polka-setchataja-Polka-setchataja-603h306;3503;heigh603width306;603;306;;491
3506;Полка сетчатая Полка сетчатая 903х306;Polka-setchataja-Polka-setchataja-903h306;3503;heigh903width306;903;306;;731
3507;Полка сетчатая Полка сетчатая 1203х306;Polka-setchataja-Polka-setchataja-1203h306;3503;heigh1203width306;1203;306;;968
3508;Полка сетчатая Полка сетчатая 463х406;Polka-setchataja-Polka-setchataja-463h406;3503;heigh463width406;463;406;;482
3509;Полка сетчатая Полка сетчатая 603х406;Polka-setchataja-Polka-setchataja-603h406;3503;heigh603width406;603;406;;592
3510;Полка сетчатая Полка сетчатая 903х406;Polka-setchataja-Polka-setchataja-903h406;3503;heigh903width406;903;406;;904
3511;Полка сетчатая Полка сетчатая 1203х406;Polka-setchataja-Polka-setchataja-1203h406;3503;heigh1203width406;1203;406;;1 197
3512;Полка сетчатая Полка сетчатая 603х506;Polka-setchataja-Polka-setchataja-603h506;3503;heigh603width506;603;506;;712
3514;Полка металлическая Полка металлическая / 327;Polka-metallicheskaja-Polka-metallicheskaja-/-327;3513;heigh597width327;597;327;;602
3515;Полка металлическая Полка металлическая / 427;Polka-metallicheskaja-Polka-metallicheskaja-/-427;3513;heigh597width427;597;427;;758
3517;Корзина выдвижная Корзина выдвижная 563x440x85;Korzina-vydvizhnaja-Korzina-vydvizhnaja-563x440x85;3516;heigh563width440depth85;563;440;85;1 862
3518;Корзина выдвижная Корзина выдвижная 563x440x181;Korzina-vydvizhnaja-Korzina-vydvizhnaja-563x440x181;3516;heigh563width440depth181;563;440;181;2 190
3519;Корзина выдвижная Корзина выдвижная 863x440x181;Korzina-vydvizhnaja-Korzina-vydvizhnaja-863x440x181;3516;heigh863width440depth181;863;440;181;3 614
3520;Корзина выдвижная Корзина выдвижная 863x440x85;Korzina-vydvizhnaja-Korzina-vydvizhnaja-863x440x85;3516;heigh863width440depth85;863;440;85;3 070
3522;Корзина cтационарная Корзина выдвижная 603x440x85;Korzina-ctatsionarnaja-Korzina-vydvizhnaja-603x440x85;3521;heigh603width440depth85;603;440;85;779
3523;Корзина cтационарная Корзина выдвижная 903x440x85;Korzina-ctatsionarnaja-Korzina-vydvizhnaja-903x440x85;3521;heigh903width440depth85;903;440;85;1 248
3525;Разделитель\ боковина корзины;Razdelitel'\-bokovina-korziny;3524;heigh85width18depth423;85;18;423;147
3527;Рама для сетчатых корзин (выдвижная);Rama-dlja-setchatyh-korzin-(vydvizhnaja);3526;heigh28width600depth410;28;600;410;1 083
3529;Корзина мелкосетчатая Корзина мелкосетчатая / 85;Korzina-melkosetchataja-Korzina-melkosetchataja-/-85;3528;heigh535width410depth85;535;410;85;1 451
3530;Корзина мелкосетчатая Корзина мелкосетчатая / 185;Korzina-melkosetchataja-Korzina-melkosetchataja-/-185;3528;heigh535width410depth185;535;410;185;1 646
3532;Корзина пластиковая Корзина пластиковая / 85;Korzina-plastikovaja-Korzina-plastikovaja-/-85;3531;heigh555width430depth85;555;430;85;674
3533;Корзина пластиковая Корзина пластиковая / 185;Korzina-plastikovaja-Korzina-plastikovaja-/-185;3531;heigh555width430depth185;555;430;185;824
3535;Брючница выдвижная;Brjuchnitsa-vydvizhnaja;3534;heigh35width600depth440;35;600;440;2 491
3537;Обувница выдвижная двухъярусная;Obuvnitsa-vydvizhnaja-dvuh'jarusnaja;3536;heigh170width603depth406;170;603;406;2 677
3539;Полка для обуви Полка для обуви / 600;Polka-dlja-obuvi-Polka-dlja-obuvi-/-600;3538;heigh603width406;603;406;;533
3540;Полка для обуви Полка для обуви / 900;Polka-dlja-obuvi-Polka-dlja-obuvi-/-900;3538;heigh903width406;903;406;;854
3542;Перфорированная панель Перфорированная панель 160 х 596 х 7 мм;Perforirovannaja-panel'-Perforirovannaja-panel'-160-h-596-h-7-mm;3541;heigh160width596depth7;160;596;7;813
3543;Перфорированная панель Перфорированная панель 288 х 596 х 7 мм;Perforirovannaja-panel'-Perforirovannaja-panel'-288-h-596-h-7-mm;3541;heigh288width596depth7;288;596;7;1 520
3544;Перфорированная панель Перфорированная панель 160 х 896 х 7 мм;Perforirovannaja-panel'-Perforirovannaja-panel'-160-h-896-h-7-mm;3541;heigh160width896depth7;160;896;7;1 098
3545;Перфорированная панель Перфорированная панель 288 х 896 х 7 мм;Perforirovannaja-panel'-Perforirovannaja-panel'-288-h-896-h-7-mm;3541;heigh288width896depth7;288;896;7;2 053
3547;Кронштейн для перекладины;Kronshtejn-dlja-perekladiny;3546;heigh101width31depth30;101;31;30;32
3549;Перекладина для вешалок Перекладина для вешалок 640;Perekladina-dlja-veshalok-Perekladina-dlja-veshalok-640;3548;heigh640;640;;;182
3550;Перекладина для вешалок Перекладина для вешалок 940;Perekladina-dlja-veshalok-Perekladina-dlja-veshalok-940;3548;heigh940;940;;;229
3551;Перекладина для вешалок Перекладина для вешалок 1240;Perekladina-dlja-veshalok-Perekladina-dlja-veshalok-1240;3548;heigh1240;1240;;;293
3552;Перекладина для вешалок Перекладина для вешалок 2000;Perekladina-dlja-veshalok-Perekladina-dlja-veshalok-2000;3548;heigh2000;2000;;;434
3554;Полка универсальная для кронштейнов GS;Polka-universal'naja-dlja-kronshtejnov-GS;3553;heigh40width310depth85;40;310;85;283
3556;Панель с крючками для кронштейнов GS;Panel'-s-krjuchkami-dlja-kronshtejnov-GS;3555;heigh53width309depth20;53;309;20;341
3558;Полка для перфорированной панели GS Полка для перфорированной панели GS / 278;Polka-dlja-perforirovannoj-paneli-GS-Polka-dlja-perforirovannoj-paneli-GS-/-278;3557;heigh70width278depth155;70;278;155;285
3559;Полка для перфорированной панели GS Полка для перфорированной панели GS / 375;Polka-dlja-perforirovannoj-paneli-GS-Polka-dlja-perforirovannoj-paneli-GS-/-375;3557;heigh70width375depth155;70;375;155;392
3560;Полка для перфорированной панели GS Полка для перфорированной панели GS / 578;Polka-dlja-perforirovannoj-paneli-GS-Polka-dlja-perforirovannoj-paneli-GS-/-578;3557;heigh70width578depth155;70;578;155;488
3562;Полка для стоек GS Полка для стоек GS / 60;Polka-dlja-stoek-GS-Polka-dlja-stoek-GS-/-60;3561;heigh60;60;;;1 171
3563;Полка для стоек GS Полка для стоек GS / 90;Polka-dlja-stoek-GS-Polka-dlja-stoek-GS-/-90;3561;heigh90;90;;;1 669
3565;Крючок универсальный;Krjuchok-universal'nyj;3564;heigh75width24,5depth20;75;24,5;20;62
3567;Переходник для стойки GS;Perehodnik-dlja-stojki-GS;3566;heigh112width12depth12;112;12;12;82
3569;Держатель для ключей GS;Derzhatel'-dlja-kljuchej-GS;3568;heigh250width80depth35;250;80;35;187
3571;Держатель для инструмента GS;Derzhatel'-dlja-instrumenta-GS;3570;heigh80width315depth30;80;315;30;213
3573;Панель с крючками Панель с крючками / 60;Panel'-s-krjuchkami-Panel'-s-krjuchkami-/-60;3572;heigh60;60;;;480
3574;Панель с крючками Панель с крючками / 90;Panel'-s-krjuchkami-Panel'-s-krjuchkami-/-90;3572;heigh90;90;;;682
3576;Соединитель для перекладины;Soedinitel'-dlja-perekladiny;3575;heigh26,5width38depth26,5;26,5;38;26,5;77
3578;Комплект заглушек для перекладины;Komplekt-zaglushek-dlja-perekladiny;3577;heigh17width25,5depth17;17;25,5;17;80
3580;Металлический крючок для перфорированного экрана Крючок 5см;Metallicheskij-krjuchok-dlja-perforirovannogo-ekrana-Krjuchok-5sm;3579;heigh50;50;;;618
3581;Металлический крючок для перфорированного экрана Крючок 8см;Metallicheskij-krjuchok-dlja-perforirovannogo-ekrana-Krjuchok-8sm;3579;heigh80;80;;;933
