IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
3583;Модульный металлический шкаф для сумок ШРМ-28-М;Modul'nyj-metallicheskij-shkaf-dlja-sumok-ShRM-28-M;3582;heigh1860width600depth500weight43;1860;600;500;43;14 520
3585;Промежуточная секция модульного ряда ШРМ-14-М;Promezhutochnaja-sektsija-modul'nogo-rjada-ShRM-14-M;3584;heigh1860width300depth500weight21;1860;300;500;21;8 071
3587;Металлический шкаф для документов  ШАМ-24.О;Metallicheskij-shkaf-dlja-dokumentov--ShAM-24.O;3586;heigh1860width600depth500weight36;1860;600;500;36;11 924
3589;Трехсекционный металлический шкаф для сумок ШРМ-312;Trehsektsionnyj-metallicheskij-shkaf-dlja-sumok-ShRM-312;3588;heigh1860width900depth500weight55;1860;900;500;55;21 660
3591;Двухсекционный металлический шкаф для сумок ШРМ-28;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-sumok-ShRM-28;3590;heigh1860width614depth500weight38;1860;614;500;38;14 520
3593;Инструментальный шкаф ИП-1-0.5;Instrumental'nyj-shkaf-IP-1-0.5;3592;heigh1020width920depth500weight27;1020;920;500;27;12 225
3595;Инструментальный шкаф ИП-2;Instrumental'nyj-shkaf-IP-2;3594;heigh1860width920depth500weight52;1860;920;500;52;21 954
3597;Металлическая аптечка АМ-1 для медикаментов;Metallicheskaja-aptechka-AM-1-dlja-medikamentov;3596;heigh380width300depth160weight3.6;380;300;160;3.6;1 782
3599;Металлический шкаф-купе для документов ШАМ-11.К;Metallicheskij-shkaf-kupe-dlja-dokumentov-ShAM-11.K;3598;heigh1860width960depth450weight56;1860;960;450;56;21 046
3601;Металлический бухгалтерский шкаф КБС-10н;Metallicheskij-buhgalterskij-shkaf-KBS-10n;3600;heigh1850width880depth390weight83;1850;880;390;83;24 079
3603;Металлический бухгалтерский шкаф КБС-033тн;Metallicheskij-buhgalterskij-shkaf-KBS-033tn;3602;heigh1502width470depth390weight40;1502;470;390;40;14 410
3605;Металлический бухгалтерский шкаф КБС-033н;Metallicheskij-buhgalterskij-shkaf-KBS-033n;3604;heigh1502width470depth390weight40;1502;470;390;40;13 893
3607;Металлический бухгалтерский шкаф КБС-032тн;Metallicheskij-buhgalterskij-shkaf-KBS-032tn;3606;heigh1502width470depth390weight38;1502;470;390;38;12 453
3609;Металлический бухгалтерский шкаф КБС-041тн;Metallicheskij-buhgalterskij-shkaf-KBS-041tn;3608;heigh912width420depth350weight24;912;420;350;24;7 691
3611;Металлический бухгалтерский шкаф КБС-042тн;Metallicheskij-buhgalterskij-shkaf-KBS-042tn;3610;heigh912width420depth350weight24;912;420;350;24;9 911
3613;Металлический бухгалтерский шкаф КБС-06н;Metallicheskij-buhgalterskij-shkaf-KBS-06n;3612;heigh1802width470depth390weight43;1802;470;390;43;15 881
3615;Металлический бухгалтерский шкаф КБС-05н;Metallicheskij-buhgalterskij-shkaf-KBS-05n;3614;heigh1802width470depth390weight43;1802;470;390;43;12 736
3617;Инструментальный шкаф ИП-2-0.5;Instrumental'nyj-shkaf-IP-2-0.5;3616;heigh1020width920depth500weight33;1020;920;500;33;15 607
3619;Инструментальный шкаф ИП-2/1;Instrumental'nyj-shkaf-IP-2/1;3618;heigh1860width920depth500;1860;920;500;;31 165
3621;Инструментальный шкаф ИП-1-0.5/1;Instrumental'nyj-shkaf-IP-1-0.5/1;3620;heigh1020width920depth500;1020;920;500;;14 876
3623;Инструментальный шкаф ИП-2-0.5/2;Instrumental'nyj-shkaf-IP-2-0.5/2;3622;heigh1020width920depth500;1020;920;500;;22 582
3625;Инструментальный шкаф ИП-2-0.5/1;Instrumental'nyj-shkaf-IP-2-0.5/1;3624;heigh1020width920depth500;1020;920;500;;25 444
3627;Инструментальный шкаф ИП-1-0.5/2;Instrumental'nyj-shkaf-IP-1-0.5/2;3626;heigh1020width920depth500;1020;920;500;;19 417
3629;Инструментальный шкаф ИП-1-0.5/3;Instrumental'nyj-shkaf-IP-1-0.5/3;3628;heigh1020width920depth500;1020;920;500;;16 121
3631;Инструментальный шкаф ИП-1-0.5/5;Instrumental'nyj-shkaf-IP-1-0.5/5;3630;heigh1020width920depth500;1020;920;500;;21 264
