IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP357;IP_PROP360;IP_PROP361;IP_PROP359;CR_PRICE_1_RUB
2787;Стойка МС-500 500 мм;Stojka-MS-500-500-mm;2786;heigh500; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;500;124
2788;Стойка МС-500 1000 мм;Stojka-MS-500-1000-mm;2786;heigh1000; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1000;236
2789;Стойка МС-500 1200 мм;Stojka-MS-500-1200-mm;2786;heigh1200; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1200;283
2790;Стойка МС-500 1500 мм;Stojka-MS-500-1500-mm;2786;heigh1500; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1500;324
2791;Стойка МС-500 1800 мм;Stojka-MS-500-1800-mm;2786;heigh1800; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1800;377
2792;Стойка МС-500 2000 мм;Stojka-MS-500-2000-mm;2786;heigh2000; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;2000;394
2794;Полка МС-100 300 х 700 мм;Polka-MS-100-300-h-700-mm;2793;heigh300width700; 1 полка, 8 болтов, 8 гаек;700;;300;533
2795;Полка МС-100 300 х 1000 мм;Polka-MS-100-300-h-1000-mm;2793;heigh300width1000; 1 полка, 8 болтов, 8 гаек;1000;;300;648
2796;Полка МС-100 400 х 700 мм;Polka-MS-100-400-h-700-mm;2793;heigh400width700; 1 полка, 8 болтов, 8 гаек;700;;400;639
2797;Полка МС-100 400 х 1000 мм;Polka-MS-100-400-h-1000-mm;2793;heigh400width1000; 1 полка, 8 болтов, 8 гаек;1000;;400;789
2798;Полка МС-100 500 х 700 мм;Polka-MS-100-500-h-700-mm;2793;heigh500width700; 1 полка, 8 болтов, 8 гаек;700;;500;739
2799;Полка МС-100 500 х 1000 мм;Polka-MS-100-500-h-1000-mm;2793;heigh500width1000; 1 полка, 8 болтов, 8 гаек;1000;;500;947
2800;Полка МС-100 600 х 700 мм;Polka-MS-100-600-h-700-mm;2793;heigh600width700; 1 полка, 8 болтов, 8 гаек;700;;600;895
2801;Полка МС-100 600 х 1000 мм;Polka-MS-100-600-h-1000-mm;2793;heigh600width1000; 1 полка, 8 болтов, 8 гаек;1000;;600;1 095
2803;Металлический стеллаж МС-152;Metallicheskij-stellazh-MS-152;2802;heigh1500width750depth200; 4 стойки 1500 мм, 4 полки 200х750 мм, крепеж, пластиковые подпятники;750;200;1500;2 679
2805;Металлический стеллаж МС-183;Metallicheskij-stellazh-MS-183;2804;heigh1800width750depth300; 4 стойки 1800 мм, 4 полки 300х750 мм, крепеж, пластиковые подпятники;750;300;1800;3 512
2807;Металлический стеллаж МС-234/500;Metallicheskij-stellazh-MS-234/500;2806;heigh2000width1000depth300; 4 стойки 2000 мм, 4 полки 300х1000 мм, крепеж, пластиковые подпятники;1000;300;2000;4 170
2809;Металлический стеллаж МС-244/500;Metallicheskij-stellazh-MS-244/500;2808;heigh2000width1000depth400; 4 стойки 2000 мм, 4 полки 400х1000 мм, крепеж, пластиковые подпятники;1000;400;2000;4 732
2811;Металлический стеллаж МС-254/500;Metallicheskij-stellazh-MS-254/500;2810;heigh2000width1000depth500; 4 стойки 2000 мм, 4 полки 500х1000 мм, крепеж, пластиковые подпятники;1000;500;2000;5 368
2813;Металлический стеллаж МС-264/500;Metallicheskij-stellazh-MS-264/500;2812;heigh2000width1000depth600; 4 стойки 2000 мм, 4 полки 600х1000 мм, крепеж, пластиковые подпятники;1000;600;2000;5 961
2815;Стойка МС-750 500 мм;Stojka-MS-750-500-mm;2814;heigh500; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;500;162
2816;Стойка МС-750 1000 мм;Stojka-MS-750-1000-mm;2814;heigh1000; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1000;270
2817;Стойка МС-750 1200 мм;Stojka-MS-750-1200-mm;2814;heigh1200; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1200;314
2818;Стойка МС-750 1500 мм;Stojka-MS-750-1500-mm;2814;heigh1500; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1500;379
2819;Стойка МС-750 1800 мм;Stojka-MS-750-1800-mm;2814;heigh1800; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;1800;434
2820;Стойка МС-750 2000 мм;Stojka-MS-750-2000-mm;2814;heigh2000; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;2000;469
2821;Стойка МС-750 2200 мм;Stojka-MS-750-2200-mm;2814;heigh2200; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;2200;528
2822;Стойка МС-750 2300 мм;Stojka-MS-750-2300-mm;2814;heigh2300; 1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;;;2300;542
