IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
3333;Металлический четырехсекционный почтовый ящик ПМ-4;Metallicheskij-chetyrehsektsionnyj-pochtovyj-jaschik-PM-4;3332;heigh500width385depth195weight5;500;385;195;5;2 025
3335;Металлический пятисекционный почтовый ящик ПМ-5;Metallicheskij-pjatisektsionnyj-pochtovyj-jaschik-PM-5;3334;heigh590width385depth195weight6;590;385;195;6;2 408
3337;Металлический шестисекционный почтовый ящик ПМ-6;Metallicheskij-shestisektsionnyj-pochtovyj-jaschik-PM-6;3336;heigh685width385depth195weight7;685;385;195;7;2 780
3339;Металлический семисекционный почтовый ящик ПМ-7;Metallicheskij-semisektsionnyj-pochtovyj-jaschik-PM-7;3338;heigh770width385depth195weight8;770;385;195;8;3 126
3341;Металлический восьмисекционный почтовый ящик ПМ-8;Metallicheskij-vos'misektsionnyj-pochtovyj-jaschik-PM-8;3340;heigh860width385depth195weight9;860;385;195;9;3 473
3343;Задняя стенка для почтовых ящиков серии ПМ для ПМ-4;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-serii-PM-dlja-PM-4;3342;heigh298width470;298;470;;;228
3344;Задняя стенка для почтовых ящиков серии ПМ для ПМ-5;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-serii-PM-dlja-PM-5;3342;heigh298width560;298;560;;;266
3345;Задняя стенка для почтовых ящиков серии ПМ для ПМ-6;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-serii-PM-dlja-PM-6;3342;heigh298width650;298;650;;;317
3346;Задняя стенка для почтовых ящиков серии ПМ для ПМ-7;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-serii-PM-dlja-PM-7;3342;heigh298width740;298;740;;;367
3347;Задняя стенка для почтовых ящиков серии ПМ для ПМ-8;Zadnjaja-stenka-dlja-pochtovyh-jaschikov-serii-PM-dlja-PM-8;3342;heigh298width830;298;830;;;411
