IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
2662;Односекционный металлический шкаф для одежды ШРМ-11 ШРМ-11;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11-ShRM-11;2661;heigh1860width300depth500;1860;300;500;;6 259
2663;Односекционный металлический шкаф для одежды ШРМ-11 ШРМ-11/400;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11-ShRM-11/400;2661;heigh1860width400depth500;1860;400;500;;7 310
2665;Двухсекционный металлический шкаф для одежды ШРМ-АК ШРМ-АК/500;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK-ShRM-AK/500;2664;heigh1860width500depth500;1860;500;500;;9 294
2666;Двухсекционный металлический шкаф для одежды ШРМ-АК ШРМ-АК;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK-ShRM-AK;2664;heigh1860width600depth500;1860;600;500;;9 977
2667;Двухсекционный металлический шкаф для одежды ШРМ-АК ШРМ-АК/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK-ShRM-AK/800;2664;heigh1860width800depth500;1860;800;500;;12 442
2669;Трехсекционный металлический шкаф для одежды ШРМ-33;Trehsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-33;2668;heigh1860width900depth500weight54;1860;900;500;54;16 442
2671;Односекционный металлический шкаф для одежды ШРМ-21;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-21;2670;heigh1860width400depth500weight28;1860;400;500;28;8 286
2673;Односекционный металлический шкаф для одежды ШРМ-12;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-12;2672;heigh1860width300depth500weight20;1860;300;500;20;7 567
2675;Двухсекционный металлический шкаф для одежды ШРМ-24;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-24;2674;heigh1860width600depth500weight34;1860;600;500;34;11 624
2677;Двухсекционный металлический шкаф для одежды ШРМ-22 ШРМ-22;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22-ShRM-22;2676;heigh1860width600depth500;1860;600;500;;14 097
2678;Двухсекционный металлический шкаф для одежды ШРМ-22 ШРМ-22/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22-ShRM-22/800;2676;heigh1860width800depth500;1860;800;500;;16 513
2680;Двухсекционный металлический шкаф ШРМ-22У ШРМ-22У;Dvuhsektsionnyj-metallicheskij-shkaf-ShRM-22U-ShRM-22U;2679;heigh1860width600depth500;1860;600;500;;10 789
2681;Двухсекционный металлический шкаф ШРМ-22У ШРМ-22У/800;Dvuhsektsionnyj-metallicheskij-shkaf-ShRM-22U-ShRM-22U/800;2679;heigh1860width800depth500;1860;800;500;;12 970
2683;Металлический шкаф для хранения одежды и инвентаря ШРМ-АК-У;Metallicheskij-shkaf-dlja-hranenija-odezhdy-i-inventarja-ShRM-AK-U;2682;heigh1860width500depth500weight29;1860;500;500;29;10 717
2685;Металлический шкаф для хранения верхней одежды ШАМ-11.Р;Metallicheskij-shkaf-dlja-hranenija-verhnej-odezhdy-ShAM-11.R;2684;heigh1860width850depth500weight42;1860;850;500;42;14 569
2687;Модульный металлический шкаф для одежды ШРМ-22М ШРМ-22М;Modul'nyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22M-ShRM-22M;2686;heigh1860width600depth500;1860;600;500;;10 293
2688;Модульный металлический шкаф для одежды ШРМ-22М ШРМ-22М-800;Modul'nyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22M-ShRM-22M-800;2686;heigh1860width800depth500;1860;800;500;;12 710
2690;Промежуточная секция модульного ряда ШРМ - М ШРМ-М;Promezhutochnaja-sektsija-modul'nogo-rjada-ShRM---M-ShRM-M;2689;heigh1860width300depth500;1860;300;500;;4 830
2691;Промежуточная секция модульного ряда ШРМ - М ШРМ-М/400;Promezhutochnaja-sektsija-modul'nogo-rjada-ShRM---M-ShRM-M/400;2689;heigh1860width400depth500;1860;400;500;;6 030
2693;Металлический сушильный шкаф для одежды и обуви ШСО-2000;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-2000;2692;heigh1818width800depth515weight52,9;1818;800;515;52,9;48 525
2695;Металлический сушильный шкаф для одежды и обуви ШСО-22М и ШСО-22М-600 ШСО-22М;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-22M-i-ShSO-22M-600-ShSO-22M;2694;heigh1962width802depth513;1962;802;513;;37 942
2696;Металлический сушильный шкаф для одежды и обуви ШСО-22М и ШСО-22М-600 ШСО-22M-600;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-22M-i-ShSO-22M-600-ShSO-22M-600;2694;heigh1962width602depth513;1962;602;513;;35 746
2698;Металлический сушильный шкаф для одежды и обуви ШСО-2000-4;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-2000-4;2697;heigh1818width800depth515weight65;1818;800;515;65;57 454
2700;Металлический сушильный шкаф RANGER-5;Metallicheskij-sushil'nyj-shkaf-RANGER-5;2699;heigh1770width1400depth658weight115,4;1770;1400;658;115,4;103 096
2702;Металлический сушильный шкаф RANGER-8;Metallicheskij-sushil'nyj-shkaf-RANGER-8;2701;heigh1770width1800depth658weight134,7;1770;1800;658;134,7;113 753
2704;Полка для хранения обуви для шкафов ШРМ Для 500 мм;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-500-mm;2703;heigh20width195depth450;20;195;450;;145
2705;Полка для хранения обуви для шкафов ШРМ Для 600 мм;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-600-mm;2703;heigh20width295depth450;20;295;450;;159
2706;Полка для хранения обуви для шкафов ШРМ Для 800 мм;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-800-mm;2703;heigh20width395depth450;20;395;450;;182
2707;Полка для хранения обуви для шкафов ШРМ Для ШАМ - 11.Р;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-ShAM---11.R;2703;heigh20width835depth460;20;835;460;;710
2709;Модуль сушильный для обуви Союз-10 (ШСО-10);Modul'-sushil'nyj-dlja-obuvi-Sojuz-10-(ShSO-10);2708;heigh1998width625depth612weight48,5;1998;625;612;48,5;65 403
2711;Модуль сушильный для обуви Союз-20 (ШСО-20);Modul'-sushil'nyj-dlja-obuvi-Sojuz-20-(ShSO-20);2710;heigh2061width625depth656weight63;2061;625;656;63;96 189
2713;Односекционный металлический шкаф для одежды ШРМ-11 ШРМ-11;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11-ShRM-11;2712;heigh1860width300depth500;1860;300;500;;6 259
2714;Односекционный металлический шкаф для одежды ШРМ-11 ШРМ-11/400;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11-ShRM-11/400;2712;heigh1860width400depth500;1860;400;500;;7 310
2716;Двухсекционный металлический шкаф для одежды ШРМ-АК ШРМ-АК/500;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK-ShRM-AK/500;2715;heigh1860width500depth500;1860;500;500;;9 294
2717;Двухсекционный металлический шкаф для одежды ШРМ-АК ШРМ-АК;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK-ShRM-AK;2715;heigh1860width600depth500;1860;600;500;;9 977
2718;Двухсекционный металлический шкаф для одежды ШРМ-АК ШРМ-АК/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK-ShRM-AK/800;2715;heigh1860width800depth500;1860;800;500;;12 442
2720;Трехсекционный металлический шкаф для одежды ШРМ-33;Trehsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-33;2719;heigh1860width900depth500weight54;1860;900;500;54;16 442
2722;Односекционный металлический шкаф для одежды ШРМ-21;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-21;2721;heigh1860width400depth500weight28;1860;400;500;28;8 286
