IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;CR_PRICE_1_RUB
3349;Скамья гардеробная разборная (сосна) 600х350х450;Skam'ja-garderobnaja-razbornaja-(sosna)-600h350h450;3348;heigh600width350depth450;600;350;450;3 356
3350;Скамья гардеробная разборная (сосна) 800х350х450;Skam'ja-garderobnaja-razbornaja-(sosna)-800h350h450;3348;heigh800width350depth450;800;350;450;3 724
3351;Скамья гардеробная разборная (сосна) 1000х350х450;Skam'ja-garderobnaja-razbornaja-(sosna)-1000h350h450;3348;heigh1000width350depth450;1000;350;450;3 959
3352;Скамья гардеробная разборная (сосна) 1200х350х450;Skam'ja-garderobnaja-razbornaja-(sosna)-1200h350h450;3348;heigh1200width350depth450;1200;350;450;4 552
3353;Скамья гардеробная разборная (сосна) 1500х350х450;Skam'ja-garderobnaja-razbornaja-(sosna)-1500h350h450;3348;heigh1500width350depth450;1500;350;450;4 898
3354;Скамья гардеробная разборная (сосна) 2000х350х450;Skam'ja-garderobnaja-razbornaja-(sosna)-2000h350h450;3348;heigh2000width350depth450;2000;350;450;6 368
3356;Подставка под шкаф с сидением (сосна) 150х600х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-150h600h770;3355;heigh150width600depth770;150;600;770;4 860
3357;Подставка под шкаф с сидением (сосна) 150х800х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-150h800h770;3355;heigh150width800depth770;150;800;770;5 520
3358;Подставка под шкаф с сидением (сосна) 330х600х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-330h600h770;3355;heigh330width600depth770;330;600;770;5 008
3359;Подставка под шкаф с сидением (сосна) 330х800х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-330h800h770;3355;heigh330width800depth770;330;800;770;5 671
3361;Подставка под шкаф (Металл) 330х600х770;Podstavka-pod-shkaf-(Metall)-330h600h770;3360;heigh330width600depth770;330;600;770;5 954
3362;Подставка под шкаф (Металл) 330х800х770;Podstavka-pod-shkaf-(Metall)-330h800h770;3360;heigh330width800depth770;330;800;770;6 782
3364;Подставка под шкаф 150х600х500;Podstavka-pod-shkaf-150h600h500;3363;heigh150width600depth500;150;600;500;2 298
3365;Подставка под шкаф 150х800х500;Podstavka-pod-shkaf-150h800h500;3363;heigh150width800depth500;150;800;500;2 619
3366;Подставка под шкаф 330х600х500;Podstavka-pod-shkaf-330h600h500;3363;heigh330width600depth500;330;600;500;2 679
3367;Подставка под шкаф 330х800х500;Podstavka-pod-shkaf-330h800h500;3363;heigh330width800depth500;330;800;500;3 067
3369;Скамья гардеробная (липа) 600х350х450;Skam'ja-garderobnaja-(lipa)-600h350h450;3368;heigh600width350depth450;600;350;450;3 990
3370;Скамья гардеробная (липа) 800х350х450;Skam'ja-garderobnaja-(lipa)-800h350h450;3368;heigh800width350depth450;800;350;450;4 681
3371;Скамья гардеробная (липа) 1000х350х450;Skam'ja-garderobnaja-(lipa)-1000h350h450;3368;heigh1000width350depth450;1000;350;450;5 181
3372;Скамья гардеробная (липа) 1200х350х450;Skam'ja-garderobnaja-(lipa)-1200h350h450;3368;heigh1200width350depth450;1200;350;450;6 399
3373;Скамья гардеробная (липа) 1500х350х450;Skam'ja-garderobnaja-(lipa)-1500h350h450;3368;heigh1500width350depth450;1500;350;450;7 635
3374;Скамья гардеробная (липа) 2000х350х450;Skam'ja-garderobnaja-(lipa)-2000h350h450;3368;heigh2000width350depth450;2000;350;450;9 783
3376;Скамья гардеробная с вешалкой (сосна) 1500х375х1680;Skam'ja-garderobnaja-s-veshalkoj-(sosna)-1500h375h1680;3375;heigh1500width375depth1680;1500;375;1680;10 498
3377;Скамья гардеробная с вешалкой (сосна) 2000х375х1680;Skam'ja-garderobnaja-s-veshalkoj-(sosna)-2000h375h1680;3375;heigh2000width375depth1680;2000;375;1680;11 707
3379;Скамья гардеробная (ЛДСП) 600х400х450;Skam'ja-garderobnaja-(LDSP)-600h400h450;3378;heigh600width400depth450;600;400;450;3 781
