IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;IP_PROP357;CR_PRICE_1_RUB
3184;Бестумбовый металлический верстак ВП-1;Bestumbovyj-metallicheskij-verstak-VP-1;3183;heigh860width1000depth685weight37;860;1000;685;37;"
• столешница СТ-1 из МДФ, покрытая оцинкованным листовым металлом;
• комплект для верстака К-1 (стенка задняя металлическая, 2 металлических верстачных опоры и полка верстачная с нагрузкой до 40 кг)";11 926
3186;Металлический верстак с подвесной тумбой ВП-Э;Metallicheskij-verstak-s-podvesnoj-tumboj-VP-E;3185;heigh860width1000depth685weight45;860;1000;685;45;"
• столешница СТ-1 из МДФ, покрытая оцинкованным листовым металлом
• комплект для верстака К - 1 - Э (две металлические верстачные опоры)
• одна подвесная тумба Т-ВПЭ с нагрузкой до 30 кг на один ящик
";13 988
3188;Однотумбовый металлический верстак ВП-2 ВП-2/1.2;Odnotumbovyj-metallicheskij-verstak-VP-2-VP-2/1.2;3187;heigh860width1200depth685;860;1200;685;;"
• При ширине 1200 мм.: столешница СТ-1.2, тумба Т-1, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм.: cтолешница СТ-2, тумба Т-1, комплект: полка, стенка, опора К-2
• При ширине 1600 мм.: столешница СТ-1.6, тумба Т-1, комплект: полка, стенка, опора К-2/1.6	
";17 604
3189;Однотумбовый металлический верстак ВП-2 ВП-2;Odnotumbovyj-metallicheskij-verstak-VP-2-VP-2;3187;heigh860width1390depth685;860;1390;685;;"
• При ширине 1200 мм.: столешница СТ-1.2, тумба Т-1, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм.: cтолешница СТ-2, тумба Т-1, комплект: полка, стенка, опора К-2
• При ширине 1600 мм.: столешница СТ-1.6, тумба Т-1, комплект: полка, стенка, опора К-2/1.6	
";19 727
3190;Однотумбовый металлический верстак ВП-2 ВП-2/1.6;Odnotumbovyj-metallicheskij-verstak-VP-2-VP-2/1.6;3187;heigh860width1600depth685;860;1600;685;;"
• При ширине 1200 мм.: столешница СТ-1.2, тумба Т-1, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм.: cтолешница СТ-2, тумба Т-1, комплект: полка, стенка, опора К-2
• При ширине 1600 мм.: столешница СТ-1.6, тумба Т-1, комплект: полка, стенка, опора К-2/1.6	
";20 630
3192;Однотумбовый металлический верстак ВП-3 ВП-3/1.2;Odnotumbovyj-metallicheskij-verstak-VP-3-VP-3/1.2;3191;heigh860width1200depth685;860;1200;685;;"
• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2, комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2, комплект: полка, стенка, опора К-2/1.6	
";24 542
3193;Однотумбовый металлический верстак ВП-3 ВП-3;Odnotumbovyj-metallicheskij-verstak-VP-3-VP-3;3191;heigh860width1390depth685;860;1390;685;;"
• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2, комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2, комплект: полка, стенка, опора К-2/1.6	
";26 664
3194;Однотумбовый металлический верстак ВП-3 ВП-3/1.6;Odnotumbovyj-metallicheskij-verstak-VP-3-VP-3/1.6;3191;heigh860width1600depth685;860;1600;685;;"
• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2, комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2, комплект: полка, стенка, опора К-2/1.6	
";27 568
3196;Однотумбовый металлический верстак ВП-3Т ВП - 3Т/1.2;Odnotumbovyj-metallicheskij-verstak-VP-3T-VP---3T/1.2;3195;heigh860width1200depth685;860;1200;685;;"
• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.6	
";26 224
3197;Однотумбовый металлический верстак ВП-3Т ВП - 3Т;Odnotumbovyj-metallicheskij-verstak-VP-3T-VP---3T;3195;heigh860width1390depth685;860;1390;685;;"
• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.6	
";28 347
