IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP77;CV_PRICE_1
2717;Металлический шкаф для документов ШАМ-11/600;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11/600;2716;heigh1860width600depth500;1860;600;500;41;12 621
2718;Металлический шкаф для документов ШАМ-11/400;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11/400;2716;heigh1860width850depth400;1860;850;400;47;13 469
2719;Металлический шкаф для документов ШАМ-11/500;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11/500;2716;heigh1860width850depth500;1860;850;500;53;14 920
2720;Металлический шкаф для документов ШАМ-11/920;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11/920;2716;heigh1830width920depth450;1830;920;450;51;14 874
2721;Металлический шкаф для документов ШАМ-11/920-370;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11/920-370;2716;heigh1830width920depth370;1830;920;370;46;13 067
2722;Металлический шкаф для документов ШАМ-11-20;Metallicheskij-shkaf-dlja-dokumentov-ShAM-11-20;2716;heigh2000width850depth500;2000;850;500;55;20 695
2724;Металлический шкаф для документов ШАМ-12/680;Metallicheskij-shkaf-dlja-dokumentov-ShAM-12/680;2723;heigh680width425depth500;680;425;500;14;5 408
2725;Металлический шкаф для документов ШАМ-12/1320;Metallicheskij-shkaf-dlja-dokumentov-ShAM-12/1320;2723;heigh1320width425depth500;1320;425;500;24;8 721
2726;Металлический шкаф для документов ШАМ-12/1860;Metallicheskij-shkaf-dlja-dokumentov-ShAM-12/1860;2723;heigh1860width425depth500;1860;425;500;34;10 525
2728;Металлический шкаф для документов ШАМ-0.5/400;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5/400;2727;heigh930width850depth400;930;850;400;23;8 801
2729;Металлический шкаф для документов ШАМ-0.5/500;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5/500;2727;heigh930width850depth500;930;850;500;26;9 900
2730;Металлический шкаф для документов ШАМ-0.5/920;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5/920;2727;heigh832width920depth450;832;920;450;24;9 521
2731;Металлический шкаф для документов ШАМ-0.5/920-370;Metallicheskij-shkaf-dlja-dokumentov-ShAM-0.5/920-370;2727;heigh832width920depth370;832;920;370;22;8 364
2733;Металлический шкаф-купе для документов ШАМ-11.К;Metallicheskij-shkaf-kupe-dlja-dokumentov-ShAM-11.K;2732;heigh1860width960depth450;1860;960;450;;21 046
2735;Металлический шкаф для документов  ШАМ-24.О;Metallicheskij-shkaf-dlja-dokumentov--ShAM-24.O;2734;heigh1860width600depth500;1860;600;500;;11 924
2737;Дополнительная полка для ШАМ-12;Dopolnitel'naja-polka-dlja-ShAM-12;2736;heigh410width20depth450;410;20;450;;413
2738;Дополнительная полка для ШАМ-11/400;Dopolnitel'naja-polka-dlja-ShAM-11/400;2736;heigh845width20depth360;845;20;360;;584
2739;Дополнительная полка для ШАМ-11;Dopolnitel'naja-polka-dlja-ShAM-11;2736;heigh845width20depth460;845;20;460;;686
2740;Дополнительная полка для ШАМ-11.К;Dopolnitel'naja-polka-dlja-ShAM-11.K;2736;heigh950width20depth360;950;20;360;;892
2741;Дополнительная полка для ШАМ-11/920;Dopolnitel'naja-polka-dlja-ShAM-11/920;2736;heigh920width20depth360;920;20;360;;714
2742;Дополнительная полка для ШАМ-11/600;Dopolnitel'naja-polka-dlja-ShAM-11/600;2736;heigh595width27depth450;595;27;450;;516
2743;Дополнительная полка для ШАМ-11/920-370;Dopolnitel'naja-polka-dlja-ShAM-11/920-370;2736;heigh915width27depth320;915;27;320;;561
