IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP324;IP_PROP77;CV_PRICE_1
3094;Бестумбовый металлический верстак ВП-1;Bestumbovyj-metallicheskij-verstak-VP-1;3093;heigh860width1000depth685;860;1000;685;"
• столешница СТ-1 из МДФ, покрытая оцинкованным листовым металлом;
• комплект для верстака К-1 (стенка задняя металлическая, 2 металлических верстачных опоры и полка верстачная с нагрузкой до 40 кг)";;11 926
3096;Металлический верстак с подвесной тумбой ВП-Э;Metallicheskij-verstak-s-podvesnoj-tumboj-VP-E;3095;heigh860width1000depth685;860;1000;685;"
• столешница СТ-1 из МДФ, покрытая оцинкованным листовым металлом
• комплект для верстака К - 1 - Э (две металлические верстачные опоры)
• одна подвесная тумба Т-ВПЭ с нагрузкой до 30 кг на один ящик
";;13 988
3098;Однотумбовый металлический верстак ВП-2/1.2;Odnotumbovyj-metallicheskij-verstak-VP-2/1.2;3097;heigh860width1200depth685;860;1200;685;"• При ширине 1200 мм.: столешница СТ-1.2, тумба Т-1, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм.: cтолешница СТ-2, тумба Т-1, комплект: полка, стенка, опора К-2
• При ширине 1600 мм.: столешница СТ-1.6, тумба Т-1, комплект: полка, стенка, опора К-2/1.6";56;17 604
3099;Однотумбовый металлический верстак ВП-2/1.39;Odnotumbovyj-metallicheskij-verstak-VP-2/1.39;3097;heigh860width1390depth685;860;1390;685;"• При ширине 1200 мм.: столешница СТ-1.2, тумба Т-1, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм.: cтолешница СТ-2, тумба Т-1, комплект: полка, стенка, опора К-2
• При ширине 1600 мм.: столешница СТ-1.6, тумба Т-1, комплект: полка, стенка, опора К-2/1.6";59;19 727
3100;Однотумбовый металлический верстак ВП-2/1.6;Odnotumbovyj-metallicheskij-verstak-VP-2/1.6;3097;heigh860width1600depth685;860;1600;685;"• При ширине 1200 мм.: столешница СТ-1.2, тумба Т-1, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм.: cтолешница СТ-2, тумба Т-1, комплект: полка, стенка, опора К-2
• При ширине 1600 мм.: столешница СТ-1.6, тумба Т-1, комплект: полка, стенка, опора К-2/1.6";64;20 630
3102;Однотумбовый металлический верстак ВП-3/1.2;Odnotumbovyj-metallicheskij-verstak-VP-3/1.2;3101;heigh860width1200depth685;860;1200;685;• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2, комплект: полка, стенка, опора К-2/1.2;71;24 542
3103;Однотумбовый металлический верстак ВП-3/1.39;Odnotumbovyj-metallicheskij-verstak-VP-3/1.39;3101;heigh860width1390depth685;860;1390;685;"• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2, комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2, комплект: полка, стенка, опора К-2/1.6";74;26 664
3104;Однотумбовый металлический верстак ВП-3/1.6;Odnotumbovyj-metallicheskij-verstak-VP-3/1.6;3101;heigh860width1600depth685;860;1600;685;"• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2, комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2, комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2, комплект: полка, стенка, опора К-2/1.6";79;27 568
3106;Однотумбовый металлический верстак ВП-3Т/1.2;Odnotumbovyj-metallicheskij-verstak-VP-3T/1.2;3105;heigh860width1200depth685;860;1200;685;"• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.6";71;26 224
3107;Однотумбовый металлический верстак ВП-3Т/1.39;Odnotumbovyj-metallicheskij-verstak-VP-3T/1.39;3105;heigh860width1390depth685;860;1390;685;"• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.6";74;28 347
3108;Однотумбовый металлический верстак ВП-3Т/1.6;Odnotumbovyj-metallicheskij-verstak-VP-3T/1.6;3105;heigh860width1600depth685;860;1600;685;"• При ширине 1200 мм: столешница СТ-1.2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.2
• При ширине 1390 мм: cтолешница СТ-2, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2
• При ширине 1600 мм: столешница СТ-1.6, тумба Т-2т (с телескопическими направляющими), комплект: полка, стенка, опора К-2/1.6";79;29 250
3110;Двухтумбовый металлический верстак ВП-5/1.6;Dvuhtumbovyj-metallicheskij-verstak-VP-5/1.6;3109;heigh860width1600depth685;860;1600;685;"• При ширине 1600 мм - столешница СТ-1.6, две тумбы Т-1, комплект: полка, стенка К-3/1.6
• При ширине 1900 мм -  столешница СТ-3, две тумбы Т-1, комплект: полка, стенка К-3";77;25 918
3111;Двухтумбовый металлический верстак ВП-5/1.9;Dvuhtumbovyj-metallicheskij-verstak-VP-5/1.9;3109;heigh860width1900depth685;860;1900;685;"• При ширине 1600 мм - столешница СТ-1.6, две тумбы Т-1, комплект: полка, стенка К-3/1.6
• При ширине 1900 мм -  столешница СТ-3, две тумбы Т-1, комплект: полка, стенка К-3";86;28 524
3114;Двухтумбовый металлический верстак ВП-4/1.9;Dvuhtumbovyj-metallicheskij-verstak-VP-4/1.9;3112;heigh860width1900depth685;860;1900;685;"• При ширине 1600 мм: столешница СТ-1.6, тумбы Т-1, Т-2, комплект: полка, стенка К-3/1.6
• При ширине 1900 мм: столешница СТ-3, тумбы Т-1, Т-2, комплект: полка, стенка К-3";101;35 462
3116;Двухтумбовый металлический верстак ВП-4Т/1.6;Dvuhtumbovyj-metallicheskij-verstak-VP-4T/1.6;3115;heigh860width1600depth685;860;1600;685;"• При ширине 1600 мм: столешница СТ-1.6, тумбы Т-1, Т-2т (с телескопическими направляющими), комплект: полка, стенка К-3/1.6
• При ширине 1900 мм: столешница СТ-3, тумбы Т-1, Т-2т (с телескопическими направляющими), комплект: полка, стенка К-3";92;34 538
3117;Двухтумбовый металлический верстак ВП-4Т/1.9;Dvuhtumbovyj-metallicheskij-verstak-VP-4T/1.9;3115;heigh860width1900depth685;860;1900;685;"• При ширине 1600 мм: столешница СТ-1.6, тумбы Т-1, Т-2т (с телескопическими направляющими), комплект: полка, стенка К-3/1.6
• При ширине 1900 мм: столешница СТ-3, тумбы Т-1, Т-2т (с телескопическими направляющими), комплект: полка, стенка К-3";101;37 144
3119;Двухтумбовый металлический верстак ВП-6/1.6;Dvuhtumbovyj-metallicheskij-verstak-VP-6/1.6;3118;heigh860width1600depth685;860;1600;685;"• При ширине 1600 мм - столешница СТ-1.6, две тумбы Т-2, комплект: полка, стенка К-3/1.6
• При ширине 1900 мм -  столешница СТ-3, две тумбы Т-2, комплект: полка, стенка К-3";107;39 793
3120;Двухтумбовый металлический верстак ВП-6/1.9;Dvuhtumbovyj-metallicheskij-verstak-VP-6/1.9;3118;heigh860width1900depth685;860;1900;685;"• При ширине 1600 мм - столешница СТ-1.6, две тумбы Т-2, комплект: полка, стенка К-3/1.6
• При ширине 1900 мм -  столешница СТ-3, две тумбы Т-2, комплект: полка, стенка К-3";116;42 398
3122;Двухтумбовый металлический верстак ВП-6Т/1.6;Dvuhtumbovyj-metallicheskij-verstak-VP-6T/1.6;3121;heigh860width1600depth685;860;1600;685;"• При ширине 1600 мм - столешница СТ-1.6, две тумбы Т-2Т (с телескопическими направляющими), комплект: полка, стенка К-3/1.6
• При ширине 1900 мм -  столешница СТ-3, две тумбы Т-2Т (с телескопическими направляющими), комплект: полка, стенка К-3";107;43 158
3123;Двухтумбовый металлический верстак ВП-6Т/1.9;Dvuhtumbovyj-metallicheskij-verstak-VP-6T/1.9;3121;heigh860width1900depth685;860;1900;685;"• При ширине 1600 мм - столешница СТ-1.6, две тумбы Т-2Т (с телескопическими направляющими), комплект: полка, стенка К-3/1.6
• При ширине 1900 мм -  столешница СТ-3, две тумбы Т-2Т (с телескопическими направляющими), комплект: полка, стенка К-3";116;45 762
3125;Подвесная тумба Т-ВПЭ для крепления к верстаку ВП-Э;Podvesnaja-tumba-T-VPE-dlja-kreplenija-k-verstaku-VP-E;3124;heigh280width380depth630;280;380;630;;;5 862
3127;Тумба Т-1 для металлического верстака;Tumba-T-1-dlja-metallicheskogo-verstaka;3126;heigh830width465depth630;830;465;630;;;8 144
3129;Тумба Т-2 с ящиками для металлического верстака;Tumba-T-2-s-jaschikami-dlja-metallicheskogo-verstaka;3128;heigh830width465depth630;830;465;630;;;15 082
3131;Тумба Т-2Т с ящиками для металлического верстак;Tumba-T-2T-s-jaschikami-dlja-metallicheskogo-verstak;3130;heigh830width465depth630;830;465;630;;;16 765
3133;Перфорированный экран для металлического верстака Экран Э/Э-1;Perforirovannyj-ekran-dlja-metallicheskogo-verstaka-Ekran-E/E-1;3132;heigh500width1000depth40;500;1000;40;2 кронштейна, крепеж;;3 065
3134;Перфорированный экран для металлического верстака Экран Э/Э-1.2;Perforirovannyj-ekran-dlja-metallicheskogo-verstaka-Ekran-E/E-1.2;3132;heigh500width1200depth40;500;1200;40;2 кронштейна, крепеж;;3 042
3135;Перфорированный экран для металлического верстака Экран Э/Э-2/1.4;Perforirovannyj-ekran-dlja-metallicheskogo-verstaka-Ekran-E/E-2/1.4;3132;heigh500width1390depth40;500;1390;40;2 кронштейна, крепеж;;3 247
3136;Перфорированный экран для металлического верстака Экран Э/Э-1.6;Perforirovannyj-ekran-dlja-metallicheskogo-verstaka-Ekran-E/E-1.6;3132;heigh500width1600depth40;500;1600;40;2 кронштейна, крепеж;;3 858
3139;Комплект К-3 для верстаков двухтумбовых ВП-4, ВП-5 и ВП-6/1.6;Komplekt-K-3-dlja-verstakov-dvuhtumbovyh-VP-4,-VP-5-i-VP-6/1.6;3138;heigh41width520depth420;41;520;420;полка верстачная, стенка задняя, крепеж;;1 656
3140;Комплект К-3 для верстаков двухтумбовых ВП-4, ВП-5 и ВП-6/1.9;Komplekt-K-3-dlja-verstakov-dvuhtumbovyh-VP-4,-VP-5-i-VP-6/1.9;3138;heigh41width797depth420;41;797;420;полка верстачная, стенка задняя, крепеж;;2 283
3142;Комплект К-1 для верстака бестумбового ВП-1;Komplekt-K-1-dlja-verstaka-bestumbovogo-VP-1;3141;heigh41width680depth420;41;680;420; полка верстачная, стенка задняя, 2 опоры, крепеж;;6 521
3144;Комплект К-1-Э для верстака с подвесной тумбой ВП-Э;Komplekt-K-1-E-dlja-verstaka-s-podvesnoj-tumboj-VP-E;3143;heigh830width80depth630;830;80;630; 2 опоры, крепеж;;2 721
3146;Комплект К-2 для верстаков однотумбовых ВП-2 и ВП-3/1.2;Komplekt-K-2-dlja-verstakov-odnotumbovyh-VP-2-i-VP-3/1.2;3145;heigh41width520depth395;41;520;395;полка верстачная, стенка задняя, 1 опора, крепеж;;3 774
3147;Комплект К-2 для верстаков однотумбовых ВП-2 и ВП-3/1.39;Komplekt-K-2-dlja-verstakov-odnotumbovyh-VP-2-i-VP-3/1.39;3145;heigh41width680depth395;41;680;395;полка верстачная, стенка задняя, 1 опора, крепеж;;4 174
3148;Комплект К-2 для верстаков однотумбовых ВП-2 и ВП-3/1.6;Komplekt-K-2-dlja-verstakov-odnotumbovyh-VP-2-i-VP-3/1.6;3145;heigh41width830depth395;41;830;395;полка верстачная, стенка задняя, 1 опора, крепеж;;4 513
3156;Держатель для инструмента для перфорированного экрана;Derzhatel'-dlja-instrumenta-dlja-perforirovannogo-ekrana;3155;heigh80width315depth30;80;315;30;" винт М6х16 - 2 шт, гайка М6 с прессшайбой - 2 шт.
";;198
3158;Держатель для ключей для перфорированного экрана;Derzhatel'-dlja-kljuchej-dlja-perforirovannogo-ekrana;3157;heigh250width80depth35;250;80;35;" винт М6х16 - 2 шт, гайка М6 с прессшайбой - 2 шт.
";;176
3160;Полка для перфорированного экрана/УК;Polka-dlja-perforirovannogo-ekrana/UK;3159;heigh70width278depth155;70;278;155;Винт М6х16 - 2 шт., гайка М6 с прессшайбой - 2 шт;;254
3161;Полка для перфорированного экрана/УД;Polka-dlja-perforirovannogo-ekrana/UD;3159;heigh70width578depth155;70;578;155;Винт М6х16 - 2 шт., гайка М6 с прессшайбой - 2 шт;;432
3163;Инструментальный шкаф ИП-1;Instrumental'nyj-shkaf-IP-1;3162;heigh1860width920depth500;1860;920;500; 1 ригельный замок;;18 805
3165;Инструментальный шкаф ИП-2;Instrumental'nyj-shkaf-IP-2;3164;heigh1860width920depth500;1860;920;500; 1 ригельный замок;;21 954
3167;Инструментальный шкаф ИП-1-0.5;Instrumental'nyj-shkaf-IP-1-0.5;3166;heigh1020width920depth500;1020;920;500; 1 ригельный замок;;12 225
3169;Инструментальный шкаф ИП-2-0.5;Instrumental'nyj-shkaf-IP-2-0.5;3168;heigh1020width920depth500;1020;920;500; 1 ригельный замок;;15 607
3171;Полка ИП-1;Polka-IP-1;3170;heigh25width817depth438;25;817;438;;;1 326
3172;Полка ИП-2;Polka-IP-2;3170;heigh25width455depth438;25;455;438;;;724
3174;Перфорированный Экран ИП-1;Perforirovannyj-Ekran-IP-1;3173;heigh495width902depth15;495;902;15;;;1 974
3175;Перфорированный Экран ИП-2;Perforirovannyj-Ekran-IP-2;3173;heigh495width440depth15;495;440;15;;;990
3177;Выдвижной ящик ИП-1;Vydvizhnoj-jaschik-IP-1;3176;heigh161width847depth455;161;847;455;;;2 572
3178;Выдвижной ящик ИП-2;Vydvizhnoj-jaschik-IP-2;3176;heigh161width388depth455;161;388;455;;;1 678
3180;Инструментальный шкаф  ИП-1/1;Instrumental'nyj-shkaf--IP-1/1;3179;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 2 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 2 шт
• Ящик выдвижной ИП-1 - 2 шт (возможно установить до 7 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;32 535
3182;Инструментальный шкаф ИП-2/1;Instrumental'nyj-shkaf-IP-2/1;3181;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-2 - 1 шт
• Полка ИП-2 - 4 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-2 - 2 шт
• Ящик выдвижной ИП-2 - 2 шт (возможно установить до 14 шт), нагрузка до 40 кг
• Ригельный замок - 1 шт
";;31 165
3184;Инструментальный шкаф  ИП-1/2;Instrumental'nyj-shkaf--IP-1/2;3183;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 3 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 1 шт
• Ящик выдвижной ИП-1 - 2 шт (возможно установить до 7 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;31 052
3186;Инструментальный шкаф  ИП-2/2;Instrumental'nyj-shkaf--IP-2/2;3185;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-2 - 1 шт
• Полка ИП-2 - 6 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-2 - 2 шт
• Ящик выдвижной ИП-2 - 4 шт (возможно установить до 14 шт), нагрузка до 40 кг
• Ригельный замок - 1 шт
";;35 967
3188;Инструментальный шкаф ИП-1/3;Instrumental'nyj-shkaf-IP-1/3;3187;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 4 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Ящик выдвижной ИП-1 - 2 шт (возможно установить до 7 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;29 251
3190;Инструментальный шкаф ИП-1/4;Instrumental'nyj-shkaf-IP-1/4;3189;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 2 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 2 шт
• Ригельный замок - 1 шт
";;27 337
3192;Инструментальный шкаф ИП-1/5;Instrumental'nyj-shkaf-IP-1/5;3191;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 1 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 2 шт
• Ящик выдвижной ИП-1 - 4 шт (возможно установить до 7 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;36 353
3194;Инструментальный шкаф ИП-1/6;Instrumental'nyj-shkaf-IP-1/6;3193;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 3 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 1 шт
• Ригельный замок - 1 шт
";;25 910
3196;Инструментальный шкаф ИП-1/7;Instrumental'nyj-shkaf-IP-1/7;3195;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 1 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 2 шт
• Ящик выдвижной ИП-1 - 4 шт (возможно установить до 7 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;36 104
3198;Инструментальный шкаф ИП-1/8;Instrumental'nyj-shkaf-IP-1/8;3197;heigh1860width920depth500;1860;920;500;"
• Шкаф ИП-1 - 1 шт
• Полка ИП-1 - 3шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Ящик выдвижной ИП-1 - 4 шт (возможно установить до 7 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;33 067
3200;Инструментальный шкаф ИП-1-0.5/1;Instrumental'nyj-shkaf-IP-1-0.5/1;3199;heigh1020width920depth500;1020;920;500;"
• Шкаф ИП-1/0.5 - 1 шт
• Полка ИП-1 - 2 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Ригельный замок - 1 шт
";;14 876
3202;Инструментальный шкаф ИП-2-0.5/1;Instrumental'nyj-shkaf-IP-2-0.5/1;3201;heigh1020width920depth500;1020;920;500;"
• Шкаф ИП-2/0.5 - 1 шт
• Полка ИП-2 - 2 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Ящик выдвижной ИП-2 - 5 шт (возможно установить до 10 шт), нагрузка до 40 кг
• Ригельный замок - 1 шт
";;25 444
3204;Инструментальный шкаф ИП-1-0.5/2;Instrumental'nyj-shkaf-IP-1-0.5/2;3203;heigh1020width920depth500;1020;920;500;"
• Шкаф ИП-1-0.5 - 1 шт
• Полка ИП-1 - 1 шт (возможна установка по всей высоте шкафа, шаг отверстий под полки 83 мм), нагрузка до 60 кг
• Экран ИП-1 - 1 шт
• Ящик выдвижной ИП-1 - 1 шт (возможно установить до 10 шт), нагрузка до 30 кг
• Ригельный замок - 1 шт
";;19 417
