IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP77;CV_PRICE_1
3214;Металлическая аптечка АМ-1 для медикаментов;Metallicheskaja-aptechka-AM-1-dlja-medikamentov;3213;heigh380width300depth160;380;300;160;;1 782
3216;Металлический медицинский шкаф  M1М / 165.50.32;Metallicheskij-meditsinskij-shkaf--M1M-/-165.50.32;3215;heigh1655width500depth320;1655;500;320;27;11 696
3217;Металлический медицинский шкаф  M1М / 165.57.32;Metallicheskij-meditsinskij-shkaf--M1M-/-165.57.32;3215;heigh1655width570depth320;1655;570;320;29;11 871
3218;Металлический медицинский шкаф  M1М / 175.60.40;Metallicheskij-meditsinskij-shkaf--M1M-/-175.60.40;3215;heigh1750width600depth400;1750;600;400;31;15 172
3220;Металлический медицинский шкаф  M1С / 165.50.32;Metallicheskij-meditsinskij-shkaf--M1S-/-165.50.32;3219;heigh1655width500depth320;1655;500;320;29;11 696
3221;Металлический медицинский шкаф  M1С / 165.57.32;Metallicheskij-meditsinskij-shkaf--M1S-/-165.57.32;3219;heigh1655width570depth320;1655;570;320;31;11 871
3222;Металлический медицинский шкаф  M1С / 175.60.40;Metallicheskij-meditsinskij-shkaf--M1S-/-175.60.40;3219;heigh1750width600depth400;1750;600;400;32;15 172
3224;Металлический медицинский шкаф M2М / 165.70.32;Metallicheskij-meditsinskij-shkaf-M2M-/-165.70.32;3223;heigh1655width700depth320;1655;700;320;34;12 093
3225;Металлический медицинский шкаф M2М / 175.80.40;Metallicheskij-meditsinskij-shkaf-M2M-/-175.80.40;3223;heigh1750width800depth400;1750;800;400;43;15 838
3227;Металлический медицинский шкаф M2C / 165.70.32;Metallicheskij-meditsinskij-shkaf-M2C-/-165.70.32;3226;heigh1655width700depth320;1655;700;320;37;12 093
3228;Металлический медицинский шкаф M2C / 175.80.40;Metallicheskij-meditsinskij-shkaf-M2C-/-175.80.40;3226;heigh1750width800depth400;1750;800;400;47;15 838
