IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP324;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP77;CV_PRICE_1
2745;Стойка МС-500 / 500;Stojka-MS-500-/-500;2744;heigh500;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;500;;;;124
2746;Стойка МС-500 / 1000;Stojka-MS-500-/-1000;2744;heigh1000;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1000;;;;236
2747;Стойка МС-500 / 1200;Stojka-MS-500-/-1200;2744;heigh1200;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1200;;;;283
2748;Стойка МС-500 / 1500;Stojka-MS-500-/-1500;2744;heigh1500;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1500;;;;324
2749;Стойка МС-500 / 1800;Stojka-MS-500-/-1800;2744;heigh1800;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1800;;;;377
2750;Стойка МС-500 / 2000;Stojka-MS-500-/-2000;2744;heigh2000;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;2000;;;;394
2752;Полка МС-100 / 300 x 700;Polka-MS-100-/-300-x-700;2751;heigh300width700;1 полка, 8 болтов, 8 гаек;300;700;;;533
2753;Полка МС-100 / 300 x 1000;Polka-MS-100-/-300-x-1000;2751;heigh300width1000;1 полка, 8 болтов, 8 гаек;300;1000;;;648
2754;Полка МС-100 / 400 x 700;Polka-MS-100-/-400-x-700;2751;heigh400width700;1 полка, 8 болтов, 8 гаек;400;700;;;639
2755;Полка МС-100 / 400 x 1000;Polka-MS-100-/-400-x-1000;2751;heigh400width1000;1 полка, 8 болтов, 8 гаек;400;1000;;;789
2756;Полка МС-100 / 500 x 700;Polka-MS-100-/-500-x-700;2751;heigh500width700;1 полка, 8 болтов, 8 гаек;500;700;;;739
2757;Полка МС-100 / 500 x 1000;Polka-MS-100-/-500-x-1000;2751;heigh500width1000;1 полка, 8 болтов, 8 гаек;500;1000;;;947
2758;Полка МС-100 / 600 x 700;Polka-MS-100-/-600-x-700;2751;heigh600width700;1 полка, 8 болтов, 8 гаек;600;700;;;895
2759;Полка МС-100 / 600 x 1000;Polka-MS-100-/-600-x-1000;2751;heigh600width1000;1 полка, 8 болтов, 8 гаек;600;1000;;;1 095
2761;Металлический стеллаж МС-254/500;Metallicheskij-stellazh-MS-254/500;2760;heigh2000width1000depth500; 4 стойки 2000 мм, 4 полки 500х1000 мм, крепеж, пластиковые подпятники;2000;1000;500;;5 368
2763;Металлический стеллаж МС-264/500;Metallicheskij-stellazh-MS-264/500;2762;heigh2000width1000depth600; 4 стойки 2000 мм, 4 полки 600х1000 мм, крепеж, пластиковые подпятники;2000;1000;600;;5 961
2765;Металлический стеллаж МС-244/500;Metallicheskij-stellazh-MS-244/500;2764;heigh2000width1000depth400; 4 стойки 2000 мм, 4 полки 400х1000 мм, крепеж, пластиковые подпятники;2000;1000;400;;4 732
2767;Металлический стеллаж МС-234/500;Metallicheskij-stellazh-MS-234/500;2766;heigh2000width1000depth300; 4 стойки 2000 мм, 4 полки 300х1000 мм, крепеж, пластиковые подпятники;2000;1000;300;;4 170
2769;Металлический стеллаж МС-183;Metallicheskij-stellazh-MS-183;2768;heigh1800width750depth300; 4 стойки 1800 мм, 4 полки 300х750 мм, крепеж, пластиковые подпятники;1800;750;300;;3 512
2771;Металлический стеллаж МС-152;Metallicheskij-stellazh-MS-152;2770;heigh1500width750depth200; 4 стойки 1500 мм, 4 полки 200х750 мм, крепеж, пластиковые подпятники;1500;750;200;;2 679
2773;Стойка МС-750 / 500;Stojka-MS-750-/-500;2772;heigh500;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;500;;;;162
2774;Стойка МС-750 / 1000;Stojka-MS-750-/-1000;2772;heigh1000;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1000;;;;270
2775;Стойка МС-750 / 1200;Stojka-MS-750-/-1200;2772;heigh1200;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1200;;;;314
2776;Стойка МС-750 / 1500;Stojka-MS-750-/-1500;2772;heigh1500;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1500;;;;379
2777;Стойка МС-750 / 1800;Stojka-MS-750-/-1800;2772;heigh1800;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;1800;;;;434
2778;Стойка МС-750 / 2000;Stojka-MS-750-/-2000;2772;heigh2000;1 стойка, 8 болтов, 8 гаек, 4 уголка, 1 пластиковый подпятник;2000;;;;469
