IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;CV_PRICE_1
3311;Металлический бухгалтерский шкаф КБС-10н;Metallicheskij-buhgalterskij-shkaf-KBS-10n;3310;heigh1850width880depth390;1850;880;390;24 079
3313;Металлический бухгалтерский шкаф КБС-06н;Metallicheskij-buhgalterskij-shkaf-KBS-06n;3312;heigh1802width470depth390;1802;470;390;15 881
3315;Металлический бухгалтерский шкаф КБС-05н;Metallicheskij-buhgalterskij-shkaf-KBS-05n;3314;heigh1802width470depth390;1802;470;390;12 736
3317;Металлический бухгалтерский шкаф КБС-042тн;Metallicheskij-buhgalterskij-shkaf-KBS-042tn;3316;heigh912width420depth350;912;420;350;9 911
3319;Металлический бухгалтерский шкаф КБС-041тн;Metallicheskij-buhgalterskij-shkaf-KBS-041tn;3318;heigh912width420depth350;912;420;350;7 691
3321;Металлический бухгалтерский шкаф КБС-033тн;Metallicheskij-buhgalterskij-shkaf-KBS-033tn;3320;heigh1502width470depth390;1502;470;390;14 410
3323;Металлический бухгалтерский шкаф КБС-011т;Metallicheskij-buhgalterskij-shkaf-KBS-011t;3322;heigh660width420depth350;660;420;350;7 112
3325;Металлический бухгалтерский шкаф КБС-012т;Metallicheskij-buhgalterskij-shkaf-KBS-012t;3324;heigh660width420depth350;660;420;350;7 369
3327;Металлический бухгалтерский шкаф КБС-031т;Metallicheskij-buhgalterskij-shkaf-KBS-031t;3326;heigh1550width470depth390;1550;470;390;12 904
3329;Металлический бухгалтерский шкаф КБС-02т;Metallicheskij-buhgalterskij-shkaf-KBS-02t;3328;heigh320width420depth350;320;420;350;5 341
3331;Металлический бухгалтерский шкаф КБС-02;Metallicheskij-buhgalterskij-shkaf-KBS-02;3330;heigh320width420depth350;320;420;350;4 779
3333;Металлический бухгалтерский шкаф КБС-032т;Metallicheskij-buhgalterskij-shkaf-KBS-032t;3332;heigh1550width470depth390;1550;470;390;14 314
3335;Металлический бухгалтерский шкаф КБС-033;Metallicheskij-buhgalterskij-shkaf-KBS-033;3334;heigh1550width470depth390;1550;470;390;15 513
3337;Металлический бухгалтерский шкаф КБС-021тн;Metallicheskij-buhgalterskij-shkaf-KBS-021tn;3336;heigh1252width420depth350;1252;420;350;9 048
3339;Металлический бухгалтерский шкаф КБС-02тн;Metallicheskij-buhgalterskij-shkaf-KBS-02tn;3338;heigh320width420depth350;320;420;350;4 721
3341;Металлический бухгалтерский шкаф КБС-011тн;Metallicheskij-buhgalterskij-shkaf-KBS-011tn;3340;heigh612width420depth350;612;420;350;6 181
3343;Металлический бухгалтерский шкаф КБС-021н;Metallicheskij-buhgalterskij-shkaf-KBS-021n;3342;heigh1252width420depth350;1252;420;350;8 523
3345;Металлический бухгалтерский шкаф КБС-023тн;Metallicheskij-buhgalterskij-shkaf-KBS-023tn;3344;heigh1252width420depth350;1252;420;350;10 686
3347;Металлический бухгалтерский шкаф КБС-023т;Metallicheskij-buhgalterskij-shkaf-KBS-023t;3346;heigh1300width420depth350;1300;420;350;11 990
3349;Металлический бухгалтерский шкаф КБС-033н;Metallicheskij-buhgalterskij-shkaf-KBS-033n;3348;heigh1502width470depth390;1502;470;390;13 893
3351;Металлический бухгалтерский шкаф КБС-032тн;Metallicheskij-buhgalterskij-shkaf-KBS-032tn;3350;heigh1502width470depth390;1502;470;390;12 453
3353;Металлический бухгалтерский шкаф КБС-031тн;Metallicheskij-buhgalterskij-shkaf-KBS-031tn;3352;heigh1502width470depth390;1502;470;390;11 098
3355;Металлический бухгалтерский шкаф КБС-02н;Metallicheskij-buhgalterskij-shkaf-KBS-02n;3354;heigh320width420depth350;320;420;350;4 240
3357;Металлический бухгалтерский шкаф КБС-021т;Metallicheskij-buhgalterskij-shkaf-KBS-021t;3356;heigh1300width420depth350;1300;420;350;10 193
3359;Металлический бухгалтерский шкаф  КБС-042т;Metallicheskij-buhgalterskij-shkaf--KBS-042t;3358;heigh960width420depth350;960;420;350;10 838
3361;Металлический бухгалтерский шкаф КБС-041т;Metallicheskij-buhgalterskij-shkaf-KBS-041t;3360;heigh960width420depth350;960;420;350;8 508
3363;Металлический бухгалтерский шкаф КБС-033т;Metallicheskij-buhgalterskij-shkaf-KBS-033t;3362;heigh1550width470depth390;1550;470;390;16 092
3365;Металлический бухгалтерский шкаф КБС-05;Metallicheskij-buhgalterskij-shkaf-KBS-05;3364;heigh1850width470depth390;1850;470;390;14 271
3367;Металлический бухгалтерский шкаф КБС-06;Metallicheskij-buhgalterskij-shkaf-KBS-06;3366;heigh1850width470depth390;1850;470;390;17 711
3369;Металлический бухгалтерский шкаф КБС-021;Metallicheskij-buhgalterskij-shkaf-KBS-021;3368;heigh1300width420depth350;1300;420;350;9 598
3371;Металлический бухгалтерский шкаф  КБС-10;Metallicheskij-buhgalterskij-shkaf--KBS-10;3370;heigh1850width880depth390;1850;880;390;26 995
3373;Металлический бухгалтерский шкаф КБС-09;Metallicheskij-buhgalterskij-shkaf-KBS-09;3372;heigh700width880depth390;700;880;390;11 992
