IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;CV_PRICE_1
3246;Скамья гардеробная разборная (сосна) / 600;Skam'ja-garderobnaja-razbornaja-(sosna)-/-600;3245;heigh450width600depth350;450;600;350;3 356
3247;Скамья гардеробная разборная (сосна) / 800;Skam'ja-garderobnaja-razbornaja-(sosna)-/-800;3245;heigh450width800depth350;450;800;350;3 724
3248;Скамья гардеробная разборная (сосна) / 1000;Skam'ja-garderobnaja-razbornaja-(sosna)-/-1000;3245;heigh450width1000depth350;450;1000;350;3 959
3249;Скамья гардеробная разборная (сосна) / 1200;Skam'ja-garderobnaja-razbornaja-(sosna)-/-1200;3245;heigh450width1200depth350;450;1200;350;4 552
3250;Скамья гардеробная разборная (сосна) / 1500;Skam'ja-garderobnaja-razbornaja-(sosna)-/-1500;3245;heigh450width1500depth350;450;1500;350;4 898
3251;Скамья гардеробная разборная (сосна) / 2000;Skam'ja-garderobnaja-razbornaja-(sosna)-/-2000;3245;heigh450width2000depth350;450;2000;350;6 368
3253;Подставка под шкаф с сидением (сосна) / 150х600х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-/-150h600h770;3252;heigh150width600depth770;150;600;770;4 860
3254;Подставка под шкаф с сидением (сосна) / 150х800х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-/-150h800h770;3252;heigh150width800depth770;150;800;770;5 520
3255;Подставка под шкаф с сидением (сосна) / 330х600х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-/-330h600h770;3252;heigh330width600depth770;330;600;770;5 008
3256;Подставка под шкаф с сидением (сосна) / 330х800х770;Podstavka-pod-shkaf-s-sideniem-(sosna)-/-330h800h770;3252;heigh330width800depth770;330;800;770;5 671
3258;Подставка под шкаф (Металл) / 600;Podstavka-pod-shkaf-(Metall)-/-600;3257;heigh330width600depth770;330;600;770;5 954
3259;Подставка под шкаф (Металл) / 800;Podstavka-pod-shkaf-(Metall)-/-800;3257;heigh330width800depth770;330;800;770;6 782
3261;Подставка под шкаф / 150х600х500;Podstavka-pod-shkaf-/-150h600h500;3260;heigh150width600depth500;150;600;500;2 298
3262;Подставка под шкаф / 150х800х500;Podstavka-pod-shkaf-/-150h800h500;3260;heigh150width800depth500;150;800;500;2 619
3263;Подставка под шкаф / 330х600х500;Podstavka-pod-shkaf-/-330h600h500;3260;heigh330width600depth500;330;600;500;2 679
3264;Подставка под шкаф / 330х800х500;Podstavka-pod-shkaf-/-330h800h500;3260;heigh330width800depth500;330;800;500;3 067
3266;Скамья гардеробная (липа) / 600;Skam'ja-garderobnaja-(lipa)-/-600;3265;heigh450width600depth350;450;600;350;3 990
3267;Скамья гардеробная (липа) / 800;Skam'ja-garderobnaja-(lipa)-/-800;3265;heigh450width800depth350;450;800;350;4 681
3268;Скамья гардеробная (липа) / 1000;Skam'ja-garderobnaja-(lipa)-/-1000;3265;heigh450width1000depth350;450;1000;350;5 181
3269;Скамья гардеробная (липа) / 1200;Skam'ja-garderobnaja-(lipa)-/-1200;3265;heigh450width1200depth350;450;1200;350;6 399
