IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP77;CV_PRICE_1
2662;Односекционный металлический шкаф для одежды ШРМ-11/300;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11/300;2661;heigh1860width300depth500;1860;300;500;20;6 259
2663;Односекционный металлический шкаф для одежды ШРМ-11/400;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11/400;2661;heigh1860width400depth500;1860;400;500;24;7 310
2665;Двухсекционный металлический шкаф для одежды ШРМ-АК/500;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK/500;2664;heigh1860width500depth500;1860;500;500;31;9 294
2666;Двухсекционный металлический шкаф для одежды ШРМ-АК/600;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK/600;2664;heigh1860width600depth500;1860;600;500;33;9 977
2667;Двухсекционный металлический шкаф для одежды ШРМ-АК/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-AK/800;2664;heigh1860width800depth500;1860;800;500;43;12 442
2669;Трехсекционный металлический шкаф для одежды ШРМ-33;Trehsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-33;2668;heigh1860width900depth500;1860;900;500;;16 442
2671;Односекционный металлический шкаф для одежды ШРМ-21;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-21;2670;heigh1860width400depth500;1860;400;500;;8 286
2673;Односекционный металлический шкаф для одежды ШРМ-12;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-12;2672;heigh1860width300depth500;1860;300;500;;7 567
2675;Двухсекционный металлический шкаф для одежды ШРМ-24;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-24;2674;heigh1860width600depth500;1860;600;500;;11 624
2677;Двухсекционный металлический шкаф для одежды ШРМ-22/600;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22/600;2676;heigh1860width600depth500;1860;600;500;37;14 097
2678;Двухсекционный металлический шкаф для одежды ШРМ-22/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22/800;2676;heigh1860width800depth500;1860;800;500;45;16 513
2680;Двухсекционный металлический шкаф ШРМ-22У/600;Dvuhsektsionnyj-metallicheskij-shkaf-ShRM-22U/600;2679;heigh1860width600depth500;1860;600;500;38;10 789
2681;Двухсекционный металлический шкаф ШРМ-22У/800;Dvuhsektsionnyj-metallicheskij-shkaf-ShRM-22U/800;2679;heigh1860width800depth500;1860;800;500;48;12 970
2683;Металлический шкаф для хранения одежды и инвентаря ШРМ-АК-У;Metallicheskij-shkaf-dlja-hranenija-odezhdy-i-inventarja-ShRM-AK-U;2682;heigh1860width500depth500;1860;500;500;;10 717
2685;Металлический шкаф для хранения верхней одежды ШАМ-11.Р;Metallicheskij-shkaf-dlja-hranenija-verhnej-odezhdy-ShAM-11.R;2684;heigh1860width850depth500;1860;850;500;;14 569
2687;Двухсекционный металлический шкаф для одежды ШРМ-С/500;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-S/500;2686;heigh1860width500depth500;1860;500;500;31;10 138
2688;Двухсекционный металлический шкаф для одежды ШРМ-С/600;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-S/600;2686;heigh1860width600depth500;1860;600;500;33;10 576
2689;Двухсекционный металлический шкаф для одежды ШРМ-С/800;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-S/800;2686;heigh1860width800depth500;1860;800;500;43;13 066
2691;Модульный металлический шкаф для одежды ШРМ-22М/600;Modul'nyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22M/600;2690;heigh1860width600depth500;1860;600;500;34;10 293
2692;Модульный металлический шкаф для одежды ШРМ-22М/800;Modul'nyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-22M/800;2690;heigh1860width600depth500;1860;600;500;34;12 710
2694;Металлический сушильный шкаф для одежды и обуви ШСО-2000;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-2000;2693;heigh1818width800depth515;1818;800;515;52,9;48 525
2696;Металлический сушильный шкаф для одежды и обуви ШСО-22М/802;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-22M/802;2695;heigh1962width802depth513;1962;802;513;53,7;37 942
2697;Металлический сушильный шкаф для одежды и обуви ШСО-22М/602;Metallicheskij-sushil'nyj-shkaf-dlja-odezhdy-i-obuvi-ShSO-22M/602;2695;heigh1962width602depth513;1962;602;513;47,5;35 746
