IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP64;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP304;IP_PROP77;IP_PROP82;IP_PROP83;IP_PROP74;IP_PROP265;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
1778;Автоматическая камера хранения NLS - 06;https://www.safe.ru/upload/resize_cache/iblock/49e/240_240_1/49ef02817e90724850fb847ca6d14fea.jpg;;html;nls-06;html;https://www.safe.ru/upload/iblock/30a/30a165f08ad780742003b838b994346c.jpg;"<div class=""text-block""><p>Предназначены для временного хранения личных вещей посетителей / сотрудников<br/><strong>Варианты комплектации:</strong></p><ul><li>перфорация на ячейке / без перфорации</li><li>толщина лицевой панели ячейки – 1,2 мм</li><li>толщина корпуса ячеек – 1,2 мм</li><li>питание от терминала NLS-00</li><li>нумерация ячеек</li><li> регулируемые по высоте ножки - 4 шт.</li><li>электромеханический замок-защелка PS-901</li><li>механический замок</li><li> электронные компоненты</li><li>цвет по шкале RAL</li></ul> </div>";https://www.safe.ru/upload/iblock/49e/49ef02817e90724850fb847ca6d14fea.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения NLS - 06.pdf;1930;660;500;580x250x480;91.5;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG NLS;0;RUB
1779;Автоматическая камера хранения NLS - 08;https://www.safe.ru/upload/resize_cache/iblock/554/240_240_1/5540a5e541245df21b943155c9cfb673.jpg;;html;nls-08;html;https://www.safe.ru/upload/iblock/694/69451b8f3565fd29f3bd1770e290d00c.jpg;"<div class=""text-block""><p>Предназначены для временного хранения личных вещей посетителей / сотрудников<br/><strong>Варианты комплектации:</strong></p><ul><li>перфорация на ячейке / без перфорации</li><li>толщина лицевой панели ячейки – 1,2 мм</li><li>толщина корпуса ячеек – 1,2 мм</li><li>питание от терминала NLS-00</li><li>нумерация ячеек</li><li> регулируемые по высоте ножки - 4 шт.</li><li>электромеханический замок-защелка PS-901</li><li>механический замок</li><li> электронные компоненты</li><li>цвет по шкале RAL</li></ul> </div>";https://www.safe.ru/upload/iblock/554/5540a5e541245df21b943155c9cfb673.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения NLS - 08.pdf;1930;660;500;430x250x480;95.5;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG NLS;0;RUB
1780;Автоматическая камера хранения NLS - 10;https://www.safe.ru/upload/resize_cache/iblock/915/240_240_1/915ca5e00b70035f7d8eb4701564976d.jpg;;html;nls-10;html;https://www.safe.ru/upload/iblock/e75/e754316940ab5cf3ed7eb3b00e7771a4.jpg;"<div class=""text-block""><p>Предназначены для временного хранения личных вещей посетителей / сотрудников<br/><strong>Варианты комплектации:</strong></p><ul><li>перфорация на ячейке / без перфорации</li><li>толщина лицевой панели ячейки – 1,2 мм</li><li>толщина корпуса ячеек – 1,2 мм</li><li>питание от терминала NLS-00</li><li>нумерация ячеек</li><li> регулируемые по высоте ножки - 4 шт.</li><li>электромеханический замок-защелка PS-901</li><li>механический замок</li><li> электронные компоненты</li><li>цвет по шкале RAL</li></ul> </div>";https://www.safe.ru/upload/iblock/915/915ca5e00b70035f7d8eb4701564976d.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения NLS - 10.pdf;1930;660;500;340x250x480;95,5;;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG NLS;0;RUB
1781;Автоматическая камера хранения NLS - 12;https://www.safe.ru/upload/resize_cache/iblock/13b/240_240_1/13befa9b129c5a4075168e658ff9e7e0.jpg;;html;nls-12;html;https://www.safe.ru/upload/iblock/e15/e156fd058957a426196000bc273c3e67.jpg;"<div class=""text-block""><p>Предназначены для временного хранения личных вещей посетителей / сотрудников<br/><strong>Варианты комплектации:</strong></p><ul><li>перфорация на ячейке / без перфорации</li><li>толщина лицевой панели ячейки – 1,2 мм</li><li>толщина корпуса ячеек – 1,2 мм</li><li>питание от терминала NLS-00</li><li>нумерация ячеек</li><li> регулируемые по высоте ножки - 4 шт.</li><li>электромеханический замок-защелка PS-901</li><li>механический замок</li><li> электронные компоненты</li><li>цвет по шкале RAL</li></ul> </div>";https://www.safe.ru/upload/iblock/13b/13befa9b129c5a4075168e658ff9e7e0.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения NLS - 12.pdf;1930;660;500;280x250x480;120,5;;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG NLS;0;RUB
1782;Автоматическая камера хранения NLS - 20;https://www.safe.ru/upload/resize_cache/iblock/ebf/240_240_1/ebf7bb27c7c5596e3e1077a63250542b.jpg;;html;nls-20;html;https://www.safe.ru/upload/iblock/864/864463193c94284a5a93e47e6376c9f9.jpg;"<div class=""text-block""><p>Предназначены для временного хранения личных вещей посетителей / сотрудников<br/><strong>Варианты комплектации:</strong></p><ul><li>перфорация на ячейке / без перфорации</li><li>толщина лицевой панели ячейки – 1,2 мм</li><li>толщина корпуса ячеек – 1,2 мм</li><li>питание от терминала NLS-00</li><li>нумерация ячеек</li><li> регулируемые по высоте ножки - 4 шт.</li><li>электромеханический замок-защелка PS-901</li><li>механический замок</li><li> электронные компоненты</li><li>цвет по шкале RAL</li></ul></div>";https://www.safe.ru/upload/iblock/ebf/ebf7bb27c7c5596e3e1077a63250542b.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения NLS - 20.pdf;1930;660;500;155x250x480;119,5;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG NLS;0;RUB
1783;Автоматическая камера хранения NLS - 00;https://www.safe.ru/upload/resize_cache/iblock/d6b/240_240_1/d6b2c7effd93a6ff9b34acfa5828f768.jpg;;html;nls-00;html;https://www.safe.ru/upload/iblock/928/9283b20f5103dad28666ff2fa569e1e1.jpg;"<div class=""text-block""><p>Предназначены для временного хранения личных вещей посетителей / сотрудников.<br/><strong>Варианты комплектации:</strong></p><ul><li>перфорация на ячейке / без перфорации</li><li>толщина лицевой панели – 1,2 мм</li><li>толщина корпуса – 1,2 мм</li><li>питание от сети 220 В</li><li>два механических замка</li><li>электронные компоненты</li><li>терминал оснащен Пин-клавиатурой, индекатором и считывателем FRID карт/ брелков/ браслетов формата EM-Marin</li><li>терминал расчитан на управление до 60 ячеек</li><li>базовое программное обеспечение</li><li>цвет по шкале RAL</li></ul><strong>Базовый алгоритм работы камеры хранения:</strong><ul><li>Закладка предмета. В свободную ячейку разместить предмет и закрыть дверцу. Камера блокирует дверцу ячейки и ожидает следущее действие - приложить карту/ брелок/ браслет к считывателю на терминале</li><li>Забрать предмет. Выполнить действие в обратном порядке.</li></ul></div>";https://www.safe.ru/upload/iblock/d6b/d6b2c7effd93a6ff9b34acfa5828f768.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения NLS - 00.pdf;1930;90;350;;23;порошковое;;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG NLS;0;RUB
1784;Автоматическая камера хранения SLS -00-24;https://www.safe.ru/upload/resize_cache/iblock/fcd/240_240_1/fcdba25ef814f6a9cc2d6e3b4fb3b80f.jpg;;html;sls-00-24;html;https://www.safe.ru/upload/iblock/0f0/0f0e5a05c5a6457a0aaad2c440d92198.jpg;"<div class=""text-block""><p>Автоматическая камера позволяет организовать надежное хранение и автоматизировать процесс приема/выдачи предметов небольшого по высоте размера: документов, мобильных телефонов, гаджетов,  ключей и др. </p><p><strong>Описание:</strong> </p><ul><li>управление ячейками камеры хранения происходит с помощью терминала, установленного на секции SLS-00-24</li><li>камера хранения функционирует без расходных материалов в автономном режиме</li><li> количество ячеек можно увеличивать за счет дополнительной секции без терминала</li><li> нижние две ячейки можно использовать для хранения более крупных предметов</li><li> имеется разграничение доступа: администратор, пользователь</li></ul><p><strong>Технические характеристики:</strong></p><ul><li>ячейки оснащены электромеханическим замком-защелкой PS-901.</li><li>толщина лицевой панели ячейки – 1,2 мм</li><li>толщина корпуса ячеек – 1,2 мм</li><li>терминал с Пин-клавиатурой, индикатором и считывателем RFID карт формата EM-Marin;</li><li></li><li>питание от сети 220 В.</li><li></li><li>встроенный аккумулятор;</li><li>размер нижних ячеек В/Ш/Г, мм: 375/320/430</li><li>цвет: по шкале RAL</li></ul></div>";https://www.safe.ru/upload/iblock/fcd/fcdba25ef814f6a9cc2d6e3b4fb3b80f.jpg;https://yarskmebel.tmweb.ru/upload/docs/Декларация о соответствии Автоматическая камера хранения SLS -00-24.pdf;1930;800;450;105x320x430;125;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические камеры хранения;Автоматические камеры хранения VALBERG SLS;0;RUB
1785;Ключница KMS-5;https://www.safe.ru/upload/resize_cache/iblock/2e4/240_240_1/2e4810cb85b3c3906b75ec060351d69c.jpg;;html;kms-5;html;https://www.safe.ru/upload/iblock/86c/86c2bf44aa92054858b9142447fce94a.jpg;"<div class=""text-block""><p>Комплект KMS-5 поставляется как демо-версия, без программного обеспечения, вспомогательных комплектующих и позволяет только демонстрировать возможности работы изделия. Для полноценной эксплуатации, в зависимости от задач заказчика, необходима дороботка конструкции и приобретение программного обеспечения.<br/><strong>Описание и состав оборудования комплекта KMS-5:</strong><br/><strong>Модуль KMS-5:</strong></p><ul><li>электронные компоненты, контроллер управления слотами с выходом Ethernet;</li><li>питание от сети 220 В, встроенный аккумулятор (для бесперебойной работы устройства);</li><li>брелоки из нержавеющей стали AISI 304 со встроенными RFID метками, металлические кольца (количество брелоков и колец совпадает с количеством слотов системы KMS);</li><li>стальной корпус, дверца из поликарбаната,6 мм., тип покрытия: порошковое, цвет: серебристый корпус с черными вставками; </li><li>опция: окраска дверей в другие цвета из палитры производителя</li></ul><strong>Терминал:</strong><ul><li>Наличие сенсорной виртуальной клавиатуры;</li><li>сканер отпечатков пальцев оптический;</li><li>встроенный считыватель RFID карт.</li><li>На терминале установлено программное обеспечение.</li><li>Технические характеристики терминала: количество пользователей 5000, кодов карт 5000, отпечатков пальцев 4500, событий 100000, USB, Ethernet, PoE, Wiegand выход, °С от 0 до +50.</li><li>Гарантия 1 год.</li></ul></div>";https://www.safe.ru/upload/iblock/2e4/2e4810cb85b3c3906b75ec060351d69c.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Ростест  Ключница KMS-5.pdf;266;502;147;;1;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические ключницы;Автоматические ключницы VALBERG;0;RUB
1785;Ключница KMS-5;https://www.safe.ru/upload/resize_cache/iblock/2e4/240_240_1/2e4810cb85b3c3906b75ec060351d69c.jpg;;html;kms-5;html;https://www.safe.ru/upload/iblock/86c/86c2bf44aa92054858b9142447fce94a.jpg;"<div class=""text-block""><p>Комплект KMS-5 поставляется как демо-версия, без программного обеспечения, вспомогательных комплектующих и позволяет только демонстрировать возможности работы изделия. Для полноценной эксплуатации, в зависимости от задач заказчика, необходима дороботка конструкции и приобретение программного обеспечения.<br/><strong>Описание и состав оборудования комплекта KMS-5:</strong><br/><strong>Модуль KMS-5:</strong></p><ul><li>электронные компоненты, контроллер управления слотами с выходом Ethernet;</li><li>питание от сети 220 В, встроенный аккумулятор (для бесперебойной работы устройства);</li><li>брелоки из нержавеющей стали AISI 304 со встроенными RFID метками, металлические кольца (количество брелоков и колец совпадает с количеством слотов системы KMS);</li><li>стальной корпус, дверца из поликарбаната,6 мм., тип покрытия: порошковое, цвет: серебристый корпус с черными вставками; </li><li>опция: окраска дверей в другие цвета из палитры производителя</li></ul><strong>Терминал:</strong><ul><li>Наличие сенсорной виртуальной клавиатуры;</li><li>сканер отпечатков пальцев оптический;</li><li>встроенный считыватель RFID карт.</li><li>На терминале установлено программное обеспечение.</li><li>Технические характеристики терминала: количество пользователей 5000, кодов карт 5000, отпечатков пальцев 4500, событий 100000, USB, Ethernet, PoE, Wiegand выход, °С от 0 до +50.</li><li>Гарантия 1 год.</li></ul></div>";https://www.safe.ru/upload/iblock/2e4/2e4810cb85b3c3906b75ec060351d69c.jpg;https://yarskmebel.tmweb.ru/upload/docs/Общая информация Ключница KMS-5.pdf;266;502;147;;1;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические ключницы;Автоматические ключницы VALBERG;0;RUB
1785;Ключница KMS-5;https://www.safe.ru/upload/resize_cache/iblock/2e4/240_240_1/2e4810cb85b3c3906b75ec060351d69c.jpg;;html;kms-5;html;https://www.safe.ru/upload/iblock/86c/86c2bf44aa92054858b9142447fce94a.jpg;"<div class=""text-block""><p>Комплект KMS-5 поставляется как демо-версия, без программного обеспечения, вспомогательных комплектующих и позволяет только демонстрировать возможности работы изделия. Для полноценной эксплуатации, в зависимости от задач заказчика, необходима дороботка конструкции и приобретение программного обеспечения.<br/><strong>Описание и состав оборудования комплекта KMS-5:</strong><br/><strong>Модуль KMS-5:</strong></p><ul><li>электронные компоненты, контроллер управления слотами с выходом Ethernet;</li><li>питание от сети 220 В, встроенный аккумулятор (для бесперебойной работы устройства);</li><li>брелоки из нержавеющей стали AISI 304 со встроенными RFID метками, металлические кольца (количество брелоков и колец совпадает с количеством слотов системы KMS);</li><li>стальной корпус, дверца из поликарбаната,6 мм., тип покрытия: порошковое, цвет: серебристый корпус с черными вставками; </li><li>опция: окраска дверей в другие цвета из палитры производителя</li></ul><strong>Терминал:</strong><ul><li>Наличие сенсорной виртуальной клавиатуры;</li><li>сканер отпечатков пальцев оптический;</li><li>встроенный считыватель RFID карт.</li><li>На терминале установлено программное обеспечение.</li><li>Технические характеристики терминала: количество пользователей 5000, кодов карт 5000, отпечатков пальцев 4500, событий 100000, USB, Ethernet, PoE, Wiegand выход, °С от 0 до +50.</li><li>Гарантия 1 год.</li></ul></div>";https://www.safe.ru/upload/iblock/2e4/2e4810cb85b3c3906b75ec060351d69c.jpg;https://yarskmebel.tmweb.ru/upload/docs/Инструкция по эксплуатации Ключница KMS-5.pdf;266;502;147;;1;порошковое;1 год;ПРОМЕТ;Россия;Автоматические системы хранения;Автоматические ключницы;Автоматические ключницы VALBERG;0;RUB
