IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP64;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP76;IP_PROP77;IP_PROP75;IP_PROP79;IP_PROP80;IP_PROP81;IP_PROP82;IP_PROP83;IP_PROP74;IP_PROP265;IP_PROP266;IP_PROP314;IP_PROP267;IP_PROP268;IP_PROP269;IP_PROP270;IP_PROP271;IP_PROP272;IP_PROP273;IP_PROP274;IP_PROP275;IP_PROP276;IP_PROP277;IP_PROP315;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
329;Бухгалтерский шкаф AIKO SL-32;https://www.safe.ru/upload/resize_cache/iblock/965/240_240_1/965ba7362ba08a68bece301ed700df03.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32;html;https://www.safe.ru/upload/iblock/98e/98e29a102fcc95c31076aae4ddb8ee2b.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li> комплектуются переставными полками</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/965/965ba7362ba08a68bece301ed700df03.jpg;https://yarskmebel.tmweb.ru/upload/docs/декларация о соответствии: Техническому регламенту Таможенного союза. «О безопасности мебельной продукции ТР ТС 025/2012» Бухгалтерский шкаф AIKO SL-32.pdf;320;420;350;318x418x344;10.3;43;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 335;RUB
329;Бухгалтерский шкаф AIKO SL-32;https://www.safe.ru/upload/resize_cache/iblock/965/240_240_1/965ba7362ba08a68bece301ed700df03.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32;html;https://www.safe.ru/upload/iblock/98e/98e29a102fcc95c31076aae4ddb8ee2b.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li> комплектуются переставными полками</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/965/965ba7362ba08a68bece301ed700df03.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Ростест Бухгалтерский шкаф AIKO SL-32.pdf;320;420;350;318x418x344;10.3;43;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 335;RUB
329;Бухгалтерский шкаф AIKO SL-32;https://www.safe.ru/upload/resize_cache/iblock/965/240_240_1/965ba7362ba08a68bece301ed700df03.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32;html;https://www.safe.ru/upload/iblock/98e/98e29a102fcc95c31076aae4ddb8ee2b.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li> комплектуются переставными полками</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/249/249bdab55e06217435b3e87b700fdd64.jpg;https://yarskmebel.tmweb.ru/upload/docs/декларация о соответствии: Техническому регламенту Таможенного союза. «О безопасности мебельной продукции ТР ТС 025/2012» Бухгалтерский шкаф AIKO SL-32.pdf;320;420;350;318x418x344;10.3;43;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 335;RUB
329;Бухгалтерский шкаф AIKO SL-32;https://www.safe.ru/upload/resize_cache/iblock/965/240_240_1/965ba7362ba08a68bece301ed700df03.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32;html;https://www.safe.ru/upload/iblock/98e/98e29a102fcc95c31076aae4ddb8ee2b.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li> комплектуются переставными полками</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/249/249bdab55e06217435b3e87b700fdd64.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Ростест Бухгалтерский шкаф AIKO SL-32.pdf;320;420;350;318x418x344;10.3;43;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 335;RUB
329;Бухгалтерский шкаф AIKO SL-32;https://www.safe.ru/upload/resize_cache/iblock/965/240_240_1/965ba7362ba08a68bece301ed700df03.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32;html;https://www.safe.ru/upload/iblock/98e/98e29a102fcc95c31076aae4ddb8ee2b.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li> комплектуются переставными полками</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/286/286bfca80b31cf2a91e67aaf14de88b3.jpg;https://yarskmebel.tmweb.ru/upload/docs/декларация о соответствии: Техническому регламенту Таможенного союза. «О безопасности мебельной продукции ТР ТС 025/2012» Бухгалтерский шкаф AIKO SL-32.pdf;320;420;350;318x418x344;10.3;43;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 335;RUB
329;Бухгалтерский шкаф AIKO SL-32;https://www.safe.ru/upload/resize_cache/iblock/965/240_240_1/965ba7362ba08a68bece301ed700df03.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32;html;https://www.safe.ru/upload/iblock/98e/98e29a102fcc95c31076aae4ddb8ee2b.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li> комплектуются переставными полками</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/286/286bfca80b31cf2a91e67aaf14de88b3.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Ростест Бухгалтерский шкаф AIKO SL-32.pdf;320;420;350;318x418x344;10.3;43;1;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 335;RUB
330;Бухгалтерский шкаф AIKO SL-32Т;https://www.safe.ru/upload/resize_cache/iblock/c1a/240_240_1/c1ae0867c4f75709de88a8fcd3adb46f.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32t;html;https://www.safe.ru/upload/iblock/e7b/e7bff429aa77816a3f956c3048dfdff0.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li>оборудованы встроенным отделением, запирающимся на ключ</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/c1a/c1ae0867c4f75709de88a8fcd3adb46f.jpg;https://yarskmebel.tmweb.ru/upload/docs/декларация о соответствии: Техническому регламенту Таможенного союза. «О безопасности мебельной продукции ТР ТС 025/2012» Бухгалтерский шкаф AIKO SL-32Т.pdf;320;420;350;183x418x344;1;24.9/16;;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;133x418x300;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 795;RUB
330;Бухгалтерский шкаф AIKO SL-32Т;https://www.safe.ru/upload/resize_cache/iblock/c1a/240_240_1/c1ae0867c4f75709de88a8fcd3adb46f.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32t;html;https://www.safe.ru/upload/iblock/e7b/e7bff429aa77816a3f956c3048dfdff0.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li>оборудованы встроенным отделением, запирающимся на ключ</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/c1a/c1ae0867c4f75709de88a8fcd3adb46f.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Ростест Бухгалтерский шкаф AIKO SL-32Т.pdf;320;420;350;183x418x344;1;24.9/16;;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;133x418x300;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 795;RUB
330;Бухгалтерский шкаф AIKO SL-32Т;https://www.safe.ru/upload/resize_cache/iblock/c1a/240_240_1/c1ae0867c4f75709de88a8fcd3adb46f.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32t;html;https://www.safe.ru/upload/iblock/e7b/e7bff429aa77816a3f956c3048dfdff0.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li>оборудованы встроенным отделением, запирающимся на ключ</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/b7b/b7bd0eca5f972a21fafb5669832841ab.jpg;https://yarskmebel.tmweb.ru/upload/docs/декларация о соответствии: Техническому регламенту Таможенного союза. «О безопасности мебельной продукции ТР ТС 025/2012» Бухгалтерский шкаф AIKO SL-32Т.pdf;320;420;350;183x418x344;1;24.9/16;;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;133x418x300;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 795;RUB
330;Бухгалтерский шкаф AIKO SL-32Т;https://www.safe.ru/upload/resize_cache/iblock/c1a/240_240_1/c1ae0867c4f75709de88a8fcd3adb46f.jpg;;html;bukhgalterskiy-shkaf-aiko-sl-32t;html;https://www.safe.ru/upload/iblock/e7b/e7bff429aa77816a3f956c3048dfdff0.jpg;"<div class=""text-block""><p>Предназначены для хранения документов в офисе</p><ul><li>сварная конструкция из стали</li><li> толщина лицевой панели – 1,2 мм</li><li>толщина боковых стенок – 1.2 мм</li><li> комплектуются ключевыми замками Практик</li><li>оборудованы встроенным отделением, запирающимся на ключ</li><li>поставляются в собранном виде</li></ul> </div>";https://www.safe.ru/upload/iblock/b7b/b7bd0eca5f972a21fafb5669832841ab.jpg;https://yarskmebel.tmweb.ru/upload/docs/Сертификат соответствия Ростест Бухгалтерский шкаф AIKO SL-32Т.pdf;320;420;350;183x418x344;1;24.9/16;;ключевой;корпус - графит (RAL 7024), дверь - светло-серая (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;133x418x300;;;;;;;;;;;;;;Металлическая мебель;Бухгалтерские шкафы;Бухгалтерские шкафы AIKO;4 795;RUB
